"Sample_Name","Staining_Protocol","Expt_Date","Location","Expt_No","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","Comments"
"vi201102.021","Viruses",2020-08-04,"NJ2020",1,1,"0.22",0,1,69083.1556503198,36359.5556054315,32723.6000448883,168353091.684435,134310405.693918,29364261.1813919,4678424.80912545,NA
"vi201102.022","Viruses",2020-08-04,"NJ2020",1,1,"0.22",0,2,17910.447761194,3980.09950248756,13930.3482587065,148979104.477612,119221293.559061,25761762.023774,3996048.89477682,NA
"vi201102.023","Viruses",2020-08-04,"NJ2020",1,1,"0.22",0,3,28144.9893390192,17910.447761194,10234.5415778252,162678038.379531,128829581.602887,28962854.2071058,4885602.56953774,NA
"vi201102.024","Viruses",2020-08-04,"NJ2020",1,1,"0.22",24,1,28144.9893390192,20469.0831556503,7675.90618336887,136119402.985075,109369632.132646,22842108.4312626,3907662.4211664,NA
"vi201102.025","Viruses",2020-08-04,"NJ2020",1,1,"0.22",24,2,58848.6140724947,17308.4159036749,41540.1981688198,131851599.147122,105791447.97497,22320175.4011768,3739975.77097467,NA
"vi201102.026","Viruses",2020-08-04,"NJ2020",1,1,"0.22",24,3,28144.9893390192,10234.5415778252,17910.447761194,138969722.814499,112925382.695196,22379358.2083423,3664981.91096013,NA
"vi201102.036","Viruses",2020-08-04,"NJ2020",1,1,"VP",0,1,1518805.97014925,1128486.99246775,390318.977681499,9207761.19402985,7134885.12348993,1421315.59987668,651560.470663242,NA
"vi201102.037","Viruses",2020-08-04,"NJ2020",1,1,"VP",0,2,1448699.36034115,1082861.08448242,365838.275858735,8716503.19829424,6630710.07189507,1373341.32639071,712451.800008465,NA
"vi201102.038","Viruses",2020-08-04,"NJ2020",1,1,"VP",0,3,1525458.42217484,1135119.04467435,390339.377500489,8996417.91044776,6827709.4887434,1394027.90768136,774680.514023001,NA
"vi201102.039","Viruses",2020-08-04,"NJ2020",1,1,"VP",3,1,1590447.76119403,1208011.84915119,382435.912042839,8875650.31982942,6815479.52962981,1337399.57870893,722771.211490693,NA
"vi201102.040","Viruses",2020-08-04,"NJ2020",1,1,"VP",3,2,1599147.12153518,1185321.64054316,413825.480992021,8812196.16204691,6571454.25186411,1465558.28786856,775183.622314234,NA
"vi201102.041","Viruses",2020-08-04,"NJ2020",1,1,"VP",3,3,1591471.21535181,1190821.11917933,400650.096172484,8492366.73773987,6378563.50202057,1335059.69539806,778743.540321244,NA
"vi201102.049","Viruses",2020-08-04,"NJ2020",1,1,"VP",6,1,1449978.67803838,1103555.20077305,346423.477265327,5252622.60127932,4060777.52056046,806965.412732257,384879.667986598,NA
"vi201102.050","Viruses",2020-08-04,"NJ2020",1,1,"VP",6,2,1513944.56289979,1154210.51610358,359734.046796208,5144136.46055437,3924156.18349741,815594.3387544,404385.938302562,NA
