Sample_Name,Staining_Protocol,Expt_Date,Date_Measurement,Location,Expt_No,Depth,Sample_Type,Timepoint,Replicate,c_Bacteria,c_HNA,c_LNA,c_Viruses,c_V1,c_V2,c_V3,VBR,HNAperLNA,,,,,,,,,,,,
vi201102.021,Viruses,04-08-20,02-11-20,NJ2020,1,1,0.22,0,1,33262.26013,12095.36732,21166.89281,167846481.9,139607157.4,23902141.27,4337183.176,5046.153846,0.571428571,,,,,,Complete output,,,,,,
vi201102.036,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,0,1,1528784.648,924134.926,604649.7222,9218507.463,7347689.792,1275850.968,594966.703,6.029958159,1.528380634,,,,,,,,,,,,
vi201102.079,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,0,1,1434115.139,867115.6061,566999.5325,7540810.235,5760696.039,1175887.424,604226.7718,5.258162355,1.529305681,,,,,,,1,2,3,Mean,Peaks/Valleys,VP
vi201102.022,Viruses,04-08-20,02-11-20,NJ2020,1,1,0.22,0,2,2558.635394,319.8294243,2238.80597,148615778.3,123805640.1,21219394.53,3590743.641,58084,0.142857143,,,,,,0,9218507,8725203,9012281,8985330.333,,
vi201102.037,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,0,2,1459701.493,877636.6956,582064.797,8725202.559,6827751.133,1253894.606,643556.8202,5.977388256,1.50779896,,,,,,3,8889467,8836759,8511301,8745842.333,,
vi201102.080,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,0,2,1395735.608,830283.7461,565451.8616,7965031.983,6115218.51,1201275.29,648538.1835,5.706691109,1.46835443,,,,,,6,8335778,8228827,7429510,7998038.333,160899.3939,
vi201102.023,Viruses,04-08-20,02-11-20,NJ2020,1,1,0.22,0,3,2558.635394,1119.402985,1439.232409,162381236.7,133710102.8,24146486.24,4524647.66,63464,0.777777778,,,,,,17,9977399,9691343,9635053,9767931.667,,
vi201102.038,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,0,3,1533901.919,913072.9093,620829.0097,9012281.45,7036517.782,1245212.52,730551.1479,5.875396163,1.470731707,,,,,,20,9175522,10484009,9372026,9677185.667,153304.8333,0.157102114
vi201102.081,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,0,3,1431556.503,871715.6564,559840.8468,7965031.983,6122742.155,1205287.9,637001.9281,5.563896336,1.557077626,,,,,,24,12333390,9830789,8707036,10290405,,
vi201102.039,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,3,1,1601449.893,998949.1924,602500.701,8889466.951,7044005.873,1177721.666,667739.4116,5.550886723,1.658005029,,,,,,,,,,,,
