"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-79829.4243070371,61864.2605925201,0.2939253144701,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685145701,46757.767174212,0.6388882411896,"LM_AP"
"NJ2020","1","1","T0_T17","c_Viruses","VP",57873.7481424045,28041.8489523133,0.298708945078537,"LM_AP"
"NJ2020","1","1","T0_T20","c_Viruses","VP",58624.4727822544,20082.8969957385,0.395946898153772,"LM_AP"
"NJ2020","1","1","T0_T24","c_Viruses","VP",68321.9039935457,22527.9753085101,0.3650194672096,"LM_AP"
"NJ2020","2","1","T0_T3","c_Viruses","VP",-864818.763326237,50303.3634453806,0.986647400927054,"LM_AP"
"NJ2020","2","1","T0_T6","c_Viruses","VP",-800817.341862121,70874.2880070433,0.948021163712858,"LM_AP"
"NJ2020","2","1","T0_T17.5","c_Viruses","VP",1551505.77346535,313474.817258472,0.710114304799916,"LM_AP"
"NJ2020","2","1","T0_T20.5","c_Viruses","VP",2223299.65924957,395260.813588968,0.708777563356207,"LM_AP"
"NJ2020","2","1","T0_T24","c_Viruses","VP",2899833.3608847,458625.479629836,0.714177496698445,"LM_AP"
"NJ2020","3","1","T0_T3","c_Viruses","VP",517242.359630399,450865.477466772,0.247570985532292,"LM_AP"
"NJ2020","3","1","T0_T6","c_Viruses","VP",-138606.965174133,270738.634256899,0.0360916986281581,"LM_AP"
"NJ2020","3","1","T0_T9","c_Viruses","VP",-178968.017057574,145941.461308346,0.130722909515151,"LM_AP"
"NJ2020","3","1","T0_T12","c_Viruses","VP",-313606.254442078,100112.366726303,0.430145059724029,"LM_AP"
"NJ2020","3","1","T0_T24","c_Viruses","VP",361534.47050462,109150.180111402,0.406772620805605,"LM_AP"
"NJ2020","4","1","T0_T3","c_Viruses","VP",423312.011371712,120394.23386477,0.755540069211468,"LM_AP"
"NJ2020","4","1","T0_T6","c_Viruses","VP",3072992.18194741,580037.934329515,0.800387320726919,"LM_AP"
"NJ2020","4","1","T0_T9","c_Viruses","VP",2420796.0199005,378123.6234526,0.803872533362046,"LM_AP"
"NJ2020","4","1","T0_T12","c_Viruses","VP",1798379.53091685,293364.717383549,0.742977090941165,"LM_AP"
"NJ2020","4","1","T0_T24","c_Viruses","VP",891115.849324805,189289.535051852,0.580738225178,"LM_AP"
"NJ2020","5","1","T0_T3","c_Viruses","VP",197725.657427145,221411.549591392,0.166230760183503,"LM_AP"
"NJ2020","5","1","T0_T6","c_Viruses","VP",205792.466240229,356690.708081506,0.0453943011464533,"LM_AP"
"NJ2020","5","1","T0_T9","c_Viruses","VP",-65415.7782515992,203705.562323453,0.0102071282398516,"LM_AP"
"NJ2020","5","1","T0_T12","c_Viruses","VP",84825.870646765,136429.169250748,0.0288783558712448,"LM_AP"
"NJ2020","5","1","T0_T24","c_Viruses","VP",31821.250888415,64504.1194375832,0.01498247522058,"LM_AP"
"NJ2020","6","1","T0_T3","c_Viruses","VP",-170717.839374556,396013.089044159,0.0443972558057973,"LM_AP"
"NJ2020","6","1","T0_T6","c_Viruses","VP",-417555.081734183,288792.845105694,0.229967190031669,"LM_AP"
"NJ2020","6","1","T0_T9","c_Viruses","VP",-881236.673773985,378502.256541137,0.351517231744078,"LM_AP"
"NJ2020","6","1","T0_T12","c_Viruses","VP",-492565.742714994,259162.544996077,0.217447361955788,"LM_AP"
"NJ2020","6","1","T0_T24","c_Viruses","VP",-134616.204690832,127764.961337584,0.0648810715281651,"LM_AP"
"NJ2020","7","1","T0_T3","c_Viruses","VP",133702.914001421,216657.651244584,0.0869314779574239,"LM_AP"
"NJ2020","7","1","T0_T6","c_Viruses","VP",21122.9566453445,139251.499933226,0.00327632056373722,"LM_AP"
"NJ2020","7","1","T0_T9","c_Viruses","VP",-149410.092395167,86519.6567363076,0.229711895033441,"LM_AP"
"NJ2020","7","1","T0_T12","c_Viruses","VP",-67488.2729211086,58530.6649777888,0.0927808930049943,"LM_AP"
"NJ2020","7","1","T0_T24","c_Viruses","VP",-47886.9936034115,26542.4284093636,0.169047920223343,"LM_AP"
"NJ2020","1","1","T0_T3","c_V1","VP",-88286.115325358,66711.6691487511,0.304515140381117,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","VP",-122215.337349332,40383.7189012798,0.566799642479401,"LM_AP"
"NJ2020","1","1","T0_T17","c_V1","VP",61620.2248984654,23914.2901566005,0.399018301836575,"LM_AP"
"NJ2020","1","1","T0_T20","c_V1","VP",56252.9378795313,17487.0147384796,0.443208630286201,"LM_AP"
"NJ2020","1","1","T0_T24","c_V1","VP",61235.587351,20160.4818760703,0.365729765282916,"LM_AP"
"NJ2020","2","1","T0_T3","c_V1","VP",-721573.142252056,39795.9115118099,0.987979456655256,"LM_AP"
"NJ2020","2","1","T0_T6","c_V1","VP",-575052.57875305,70631.6147903632,0.904482814038753,"LM_AP"
"NJ2020","2","1","T0_T17.5","c_V1","VP",1615604.34245755,298460.959410933,0.745559016955118,"LM_AP"
"NJ2020","2","1","T0_T20.5","c_V1","VP",2261401.89806292,385779.421823165,0.725517869082729,"LM_AP"
"NJ2020","2","1","T0_T24","c_V1","VP",2921495.0982448,451132.735791921,0.723839931899657,"LM_AP"
"NJ2020","3","1","T0_T3","c_V1","VP",716104.333407687,331377.065583186,0.538633736331255,"LM_AP"
"NJ2020","3","1","T0_T6","c_V1","VP",11557.851049961,255692.855068944,0.000291804653750225,"LM_AP"
"NJ2020","3","1","T0_T9","c_V1","VP",-93335.3696488237,139839.830070987,0.0426483485917566,"LM_AP"
"NJ2020","3","1","T0_T12","c_V1","VP",-246502.226582671,99070.920421395,0.322593345072673,"LM_AP"
"NJ2020","3","1","T0_T24","c_V1","VP",365974.468102039,100726.022273356,0.452080048634165,"LM_AP"
"NJ2020","4","1","T0_T3","c_V1","VP",484593.352061889,119921.326421608,0.803237653462983,"LM_AP"
"NJ2020","4","1","T0_T6","c_V1","VP",2591806.05296218,462281.657985268,0.817866859715979,"LM_AP"
"NJ2020","4","1","T0_T9","c_V1","VP",2045353.71030123,314509.055070022,0.808770544819897,"LM_AP"
"NJ2020","4","1","T0_T12","c_V1","VP",1517527.05528093,246234.270753081,0.745007193673415,"LM_AP"
"NJ2020","4","1","T0_T24","c_V1","VP",752135.542332933,159071.191527677,0.582863783101064,"LM_AP"
"NJ2020","5","1","T0_T3","c_V1","VP",203930.82401542,198140.786488022,0.209376414216865,"LM_AP"
"NJ2020","5","1","T0_T6","c_V1","VP",293980.183935489,339607.428479482,0.0966978375033173,"LM_AP"
"NJ2020","5","1","T0_T9","c_V1","VP",-28930.1275937384,199913.606944399,0.00208981308532923,"LM_AP"
"NJ2020","5","1","T0_T12","c_V1","VP",103487.054863256,134380.687335743,0.0436295885948453,"LM_AP"
"NJ2020","5","1","T0_T24","c_V1","VP",42802.7500559702,64395.014011409,0.0268713290897107,"LM_AP"
"NJ2020","6","1","T0_T3","c_V1","VP",-119921.750926477,369930.454000084,0.0255996019285393,"LM_AP"
"NJ2020","6","1","T0_T6","c_V1","VP",-346562.431427755,314436.570088499,0.147877139119058,"LM_AP"
"NJ2020","6","1","T0_T9","c_V1","VP",-756441.390995924,339819.455451289,0.331332636585236,"LM_AP"
"NJ2020","6","1","T0_T12","c_V1","VP",-420192.997668999,231211.467727254,0.202589702908563,"LM_AP"
"NJ2020","6","1","T0_T24","c_V1","VP",-120437.930657171,112978.814659748,0.0663151663994759,"LM_AP"
"NJ2020","7","1","T0_T3","c_V1","VP",130156.714046721,208657.133351626,0.088652445424303,"LM_AP"
"NJ2020","7","1","T0_T6","c_V1","VP",13680.2466461933,134292.258460069,0.00148028215969372,"LM_AP"
"NJ2020","7","1","T0_T9","c_V1","VP",-142015.067245729,82201.6055816449,0.229865920678417,"LM_AP"
"NJ2020","7","1","T0_T12","c_V1","VP",-59236.7358393466,56197.4395628712,0.0787387695013438,"LM_AP"
"NJ2020","7","1","T0_T24","c_V1","VP",-41624.6416213343,25472.2652900971,0.143025589830146,"LM_AP"
"NJ2020","1","1","T0_T3","c_V2","VP",-7229.94348103456,16664.1694186644,0.0449439588971519,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","VP",-29237.0560267039,8810.55962202791,0.611366963442567,"LM_AP"
"NJ2020","1","1","T0_T17","c_V2","VP",-2497.19474804976,4242.52884734008,0.0334860070063944,"LM_AP"
"NJ2020","1","1","T0_T20","c_V2","VP",1377.81142155547,2948.0431189285,0.0165246408547826,"LM_AP"
"NJ2020","1","1","T0_T24","c_V2","VP",5782.4301261116,2795.6760281579,0.210969974092052,"LM_AP"
"NJ2020","2","1","T0_T3","c_V2","VP",-120823.051345025,26462.145417846,0.839016614412296,"LM_AP"
"NJ2020","2","1","T0_T6","c_V2","VP",-203962.993737047,21977.7172757864,0.924833552341347,"LM_AP"
"NJ2020","2","1","T0_T17.5","c_V2","VP",-58998.3911084735,17014.6407001298,0.545941770309647,"LM_AP"
"NJ2020","2","1","T0_T20.5","c_V2","VP",-36373.4596963838,13132.140692413,0.371124428341761,"LM_AP"
"NJ2020","2","1","T0_T24","c_V2","VP",-21928.6179621967,10909.2494776,0.201615860562107,"LM_AP"
"NJ2020","3","1","T0_T3","c_V2","VP",-207898.017674513,251463.374809173,0.145941511316479,"LM_AP"
"NJ2020","3","1","T0_T6","c_V2","VP",-128270.670067422,96690.9429100767,0.200902325130193,"LM_AP"
"NJ2020","3","1","T0_T9","c_V2","VP",-73914.8398517054,53082.1855484555,0.162405115708194,"LM_AP"
"NJ2020","3","1","T0_T12","c_V2","VP",-54224.7116439734,33396.3923603764,0.168601449359108,"LM_AP"
"NJ2020","3","1","T0_T24","c_V2","VP",-13603.5913760452,16192.3640143342,0.0422492643085087,"LM_AP"
