"file_name","pop","count"
vi201102.001,root,4320
vi201102.001,Bacteria,42
vi201102.001,HNA_Bacteria,35
vi201102.001,LNA_Bacteria,7
vi201102.001,Viruses,2773
vi201102.001,V1,2705
vi201102.001,V2,43
vi201102.001,V3,0
vi201102.002,root,95715
vi201102.002,Bacteria,88
vi201102.002,HNA_Bacteria,68
vi201102.002,LNA_Bacteria,20
vi201102.002,Viruses,1615
vi201102.002,V1,1105
vi201102.002,V2,24
vi201102.002,V3,0
vi201102.003,root,1950
vi201102.003,Bacteria,12
vi201102.003,HNA_Bacteria,11
vi201102.003,LNA_Bacteria,1
vi201102.003,Viruses,1117
vi201102.003,V1,1088
vi201102.003,V2,17
vi201102.003,V3,0
vi201102.004,root,1680
vi201102.004,Bacteria,12
vi201102.004,HNA_Bacteria,11
vi201102.004,LNA_Bacteria,1
vi201102.004,Viruses,778
vi201102.004,V1,767
vi201102.004,V2,4
vi201102.004,V3,0
vi201102.005,root,1215
vi201102.005,Bacteria,3
vi201102.005,HNA_Bacteria,1
vi201102.005,LNA_Bacteria,2
vi201102.005,Viruses,675
vi201102.005,V1,656
vi201102.005,V2,9
vi201102.005,V3,1
vi201102.006,root,1275
vi201102.006,Bacteria,8
vi201102.006,HNA_Bacteria,8
vi201102.006,LNA_Bacteria,0
vi201102.006,Viruses,690
vi201102.006,V1,668
vi201102.006,V2,15
vi201102.006,V3,1
vi201102.021,root,34710
vi201102.021,Bacteria,19
vi201102.021,HNA_Bacteria,10
vi201102.021,LNA_Bacteria,9
vi201102.021,Viruses,33535
vi201102.021,V1,26785
vi201102.021,V2,5856
vi201102.021,V3,933
vi201102.022,root,30705
vi201102.022,Bacteria,9
vi201102.022,HNA_Bacteria,2
vi201102.022,LNA_Bacteria,7
vi201102.022,Viruses,29794
vi201102.022,V1,23838
vi201102.022,V2,5151
vi201102.022,V3,799
vi201102.023,root,33105
vi201102.023,Bacteria,11
vi201102.023,HNA_Bacteria,7
vi201102.023,LNA_Bacteria,4
vi201102.023,Viruses,32452
vi201102.023,V1,25710
vi201102.023,V2,5780
vi201102.023,V3,975
vi201102.024,root,28110
vi201102.024,Bacteria,11
vi201102.024,HNA_Bacteria,8
vi201102.024,LNA_Bacteria,3
vi201102.024,Viruses,27307
vi201102.024,V1,21915
vi201102.024,V2,4577
vi201102.024,V3,783
vi201102.025,root,27195
vi201102.025,Bacteria,17
vi201102.025,HNA_Bacteria,5
vi201102.025,LNA_Bacteria,12
vi201102.025,Viruses,26459
vi201102.025,V1,21215
vi201102.025,V2,4476
vi201102.025,V3,750
vi201102.026,root,28455
vi201102.026,Bacteria,11
vi201102.026,HNA_Bacteria,4
vi201102.026,LNA_Bacteria,7
vi201102.026,Viruses,27830
vi201102.026,V1,22616
vi201102.026,V2,4482
vi201102.026,V3,734
vi201102.027,root,1290
vi201102.027,Bacteria,6
vi201102.027,HNA_Bacteria,5
vi201102.027,LNA_Bacteria,1
vi201102.027,Viruses,645
vi201102.027,V1,622
vi201102.027,V2,16
vi201102.027,V3,0
vi201102.028,root,1080
vi201102.028,Bacteria,5
vi201102.028,HNA_Bacteria,5
vi201102.028,LNA_Bacteria,0
vi201102.028,Viruses,627
vi201102.028,V1,607
vi201102.028,V2,13
vi201102.028,V3,1
vi201102.029,root,97530
vi201102.029,Bacteria,74
vi201102.029,HNA_Bacteria,60
vi201102.029,LNA_Bacteria,14
vi201102.029,Viruses,904
vi201102.029,V1,693
vi201102.029,V2,23
vi201102.029,V3,0
vi201102.030,root,1140
vi201102.030,Bacteria,8
vi201102.030,HNA_Bacteria,5
vi201102.030,LNA_Bacteria,3
vi201102.030,Viruses,839
vi201102.030,V1,811
vi201102.030,V2,22
vi201102.030,V3,1
vi201102.031,root,1170
vi201102.031,Bacteria,10
vi201102.031,HNA_Bacteria,8
vi201102.031,LNA_Bacteria,2
vi201102.031,Viruses,605
vi201102.031,V1,584
vi201102.031,V2,20
vi201102.031,V3,0
vi201102.032,root,1485
vi201102.032,Bacteria,68
vi201102.032,HNA_Bacteria,66
vi201102.032,LNA_Bacteria,2
vi201102.032,Viruses,531
vi201102.032,V1,513
vi201102.032,V2,9
vi201102.032,V3,0
vi201102.033,root,915
vi201102.033,Bacteria,4
