"Sample_Name","Staining_Protocol","Date_Measurement","Location","Expt_Date","Expt_No","Depth","Sample_Type","Timepoint","Replicate","Acquisition_Duration","Dilution","Flowrate"
"vi201102.001","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.002","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.003","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.004","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.005","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.006","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.021","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"0.22",0,1,60,200,39.0833333333333
"vi201102.022","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"0.22",0,2,60,200,39.0833333333333
"vi201102.023","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"0.22",0,3,60,200,39.0833333333333
"vi201102.024","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"0.22",24,1,60,200,39.0833333333333
"vi201102.025","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"0.22",24,2,60,200,39.0833333333333
"vi201102.026","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"0.22",24,3,60,200,39.0833333333333
"vi201102.027","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.028","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.029","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.030","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.031","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.032","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.033","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.036","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VP",0,1,60,20,39.0833333333333
"vi201102.037","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VP",0,2,60,20,39.0833333333333
"vi201102.038","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VP",0,3,60,20,39.0833333333333
"vi201102.039","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VP",3,1,60,20,39.0833333333333
"vi201102.040","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VP",3,2,60,20,39.0833333333333
"vi201102.041","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VP",3,3,60,20,39.0833333333333
"vi201102.043","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
