"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","1","1","T0_T3","c_Viruses","VP","1",NA,NA,1,"LM_SR",-109680.170575693
"NJ2020","1","1","T0_T6","c_Viruses","VP","1",NA,21616.781933837,0.978867375265309,"LM_SR",-147121.535181238
"NJ2020","1","1","T0_T17","c_Viruses","VP","1",NA,50992.007328842,0.392359608651424,"LM_SR",57947.6642760222
"NJ2020","1","1","T0_T20","c_Viruses","VP","1",NA,33929.6883922144,0.241983782352579,"LM_SR",33204.3039079284
"NJ2020","1","1","T0_T24","c_Viruses","VP","1",NA,50160.6249966507,0.504706682049468,"LM_SR",101270.097389501
"NJ2020","1","1","T0_T3","c_Viruses","VP","2",NA,NA,1,"LM_SR",37185.5010660973
"NJ2020","1","1","T0_T6","c_Viruses","VP","2",NA,69232.7913416303,0.588119351537325,"LM_SR",-82729.2110874221
"NJ2020","1","1","T0_T17","c_Viruses","VP","2",NA,38981.2671193379,0.547338704857235,"LM_SR",60619.4999030817
"NJ2020","1","1","T0_T20","c_Viruses","VP","2",NA,28736.2772248909,0.758667709235686,"LM_SR",88248.882449307
"NJ2020","1","1","T0_T24","c_Viruses","VP","2",NA,22562.814250724,0.715346783400336,"LM_SR",71535.815132829
"NJ2020","1","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",-166993.603411513
"NJ2020","1","1","T0_T6","c_Viruses","VP","3",NA,55888.4908767778,0.957042229849823,"LM_SR",-263795.309168444
"NJ2020","1","1","T0_T17","c_Viruses","VP","3",NA,79967.228696622,0.19158421405019,"LM_SR",55054.0802481099
"NJ2020","1","1","T0_T20","c_Viruses","VP","3",NA,47575.3972859825,0.303693318987135,"LM_SR",54420.2319895283
"NJ2020","1","1","T0_T24","c_Viruses","VP","3",NA,35782.6625080581,0.16801139766427,"LM_SR",32159.7994583066
"NJ2020","2","1","T0_T3","c_Viruses","VP","1",NA,NA,1,"LM_SR",-806396.588486162
"NJ2020","2","1","T0_T6","c_Viruses","VP","1",NA,123287.056416516,0.958547704521255,"LM_SR",-592857.142857151
"NJ2020","2","1","T0_T17.5","c_Viruses","VP","1",NA,662781.10767675,0.843849729530624,"LM_SR",2178945.18867774
"NJ2020","2","1","T0_T20.5","c_Viruses","VP","1",NA,733797.063121701,0.862393809843984,"LM_SR",3181782.04260125
"NJ2020","2","1","T0_T24","c_Viruses","VP","1",NA,776552.097726069,0.87115891534344,"LM_SR",4038518.71205265
"NJ2020","2","1","T0_T3","c_Viruses","VP","2",NA,NA,1,"LM_SR",-988059.701492534
"NJ2020","2","1","T0_T6","c_Viruses","VP","2",NA,44501.5186166361,0.997619347160375,"LM_SR",-910980.810234552
"NJ2020","2","1","T0_T17.5","c_Viruses","VP","2",NA,455051.456898556,0.704350518854687,"LM_SR",993302.127872606
"NJ2020","2","1","T0_T20.5","c_Viruses","VP","2",NA,308601.338286556,0.841595414440389,"LM_SR",1232044.05633344
"NJ2020","2","1","T0_T24","c_Viruses","VP","2",NA,353535.215944475,0.843822429042844,"LM_SR",1643534.69651928
"NJ2020","2","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",-800000.000000003
"NJ2020","2","1","T0_T6","c_Viruses","VP","3",NA,56934.8613006792,0.996001747628227,"LM_SR",-898614.072494669
"NJ2020","2","1","T0_T17.5","c_Viruses","VP","3",NA,568947.633506684,0.772404066634441,"LM_SR",1482270.00384569
"NJ2020","2","1","T0_T20.5","c_Viruses","VP","3",NA,585383.395964521,0.831964642427619,"LM_SR",2256072.87881404
"NJ2020","2","1","T0_T24","c_Viruses","VP","3",NA,660307.563161992,0.839245745558802,"LM_SR",3017446.67408219
"NJ2020","3","1","T0_T3","c_Viruses","VP","1",NA,NA,1,"LM_SR",753944.562899768
"NJ2020","3","1","T0_T6","c_Viruses","VP","1",NA,324128.626604741,0.260821932939806,"LM_SR",192537.313432833
"NJ2020","3","1","T0_T9","c_Viruses","VP","1",NA,146489.430381591,0.361572658154996,"LM_SR",155906.18336887
"NJ2020","3","1","T0_T12","c_Viruses","VP","1",NA,172967.028099677,0.110187450588868,"LM_SR",-105424.30703625
"NJ2020","3","1","T0_T24","c_Viruses","VP","1",NA,195543.891296274,0.63898413143067,"LM_SR",520302.771855012
"NJ2020","3","1","T0_T3","c_Viruses","VP","2",NA,NA,1,"LM_SR",605373.134328333
"NJ2020","3","1","T0_T6","c_Viruses","VP","2",NA,257210.160435983,0.27867588903913,"LM_SR",159872.068230265
"NJ2020","3","1","T0_T9","c_Viruses","VP","2",NA,244793.291969105,0.277214596235684,"LM_SR",-214396.58848615
"NJ2020","3","1","T0_T12","c_Viruses","VP","2",NA,188931.988330802,0.63493563061673,"LM_SR",-431565.031982943
"NJ2020","3","1","T0_T24","c_Viruses","VP","2",NA,227553.50946273,0.308525063901214,"LM_SR",303997.867803838
"NJ2020","3","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",192409.381663098
"NJ2020","3","1","T0_T6","c_Viruses","VP","3",NA,554625.565630469,0.657369261084656,"LM_SR",-768230.277185501
"NJ2020","3","1","T0_T9","c_Viruses","VP","3",NA,299198.590967119,0.561090556398532,"LM_SR",-478413.64605544
"NJ2020","3","1","T0_T12","c_Viruses","VP","3",NA,178028.652160754,0.631692338934722,"LM_SR",-403829.42430704
"NJ2020","3","1","T0_T24","c_Viruses","VP","3",NA,206636.46140967,0.28403669292604,"LM_SR",260302.771855009
"NJ2020","4","1","T0_T3","c_Viruses","VP","1",NA,NA,1,"LM_SR",121108.742004266
"NJ2020","4","1","T0_T6","c_Viruses","VP","1",NA,1677147.13591459,0.76500232509391,"LM_SR",3026012.79317697
"NJ2020","4","1","T0_T9","c_Viruses","VP","1",NA,880811.904786124,0.761553255724784,"LM_SR",2226140.7249467
"NJ2020","4","1","T0_T12","c_Viruses","VP","1",NA,567754.452338095,0.767935148555676,"LM_SR",1788869.93603412
"NJ2020","4","1","T0_T24","c_Viruses","VP","1",NA,369927.270155124,0.55802557242877,"LM_SR",831332.62260128
"NJ2020","4","1","T0_T3","c_Viruses","VP","2",NA,NA,1,"LM_SR",672921.108742001
"NJ2020","4","1","T0_T6","c_Viruses","VP","2",NA,1406691.156936,0.830104389358414,"LM_SR",3109381.663113
"NJ2020","4","1","T0_T9","c_Viruses","VP","2",NA,821706.643269458,0.780887049354753,"LM_SR",2193773.98720682
"NJ2020","4","1","T0_T12","c_Viruses","VP","2",NA,581884.829051051,0.718505391651069,"LM_SR",1610191.89765459
"NJ2020","4","1","T0_T24","c_Viruses","VP","2",NA,302051.711275256,0.745207681441279,"LM_SR",1033134.32835821
"NJ2020","4","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",475906.183368867
"NJ2020","4","1","T0_T6","c_Viruses","VP","3",NA,1505542.38639428,0.807504745249998,"LM_SR",3083582.08955225
