"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_Viruses","VBR","HNAperLNA","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31"
"vi201103.011","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",0,1,2302.771855,12126652.45,5266.111111,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.027","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",0,1,902558.6354,33939019.19,37.60311836,1.162079511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.009","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",0,1,825159.9147,36735607.68,44.51937984,1.305263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.013","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",0,2,2302.771855,12777569.3,5548.777778,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.028","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",0,2,857782.516,34344562.9,40.03877703,1.488888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.010","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",0,2,770149.2537,34180810.23,44.3820598,1.417322835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.014","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",0,3,4349.680171,11726993.6,2696.058824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.029","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",0,3,810447.7612,34106609.81,42.08366219,1.529880478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.011","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",0,3,841791.0448,34688699.36,41.20820669,1.384341637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.030","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",3,1,905117.2708,31519829.42,34.82402827,1.371237458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.012","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",3,1,830277.1855,34512153.52,41.56702619,1.319298246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.031","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",3,2,891044.7761,31380383.8,35.21751615,1.501792115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.013","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",3,2,828997.8678,34224307.04,41.28395062,1.348754448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.032","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",3,3,828358.209,31706609.81,38.27644788,1.606425703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.014","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",3,3,811087.42,34189765.46,42.15299685,1.25087108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.042","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",6,1,884648.1876,30381876.33,34.34345625,1.696969697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.032","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",6,1,807249.467,52775692.96,65.37717908,1.02866242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
