"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","c_V4","c_V5"
"vi201103.011","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",0,1,2302.771855,657.9348157,1644.837039,12126652.45,10474609.86,1558655.241,93387.35409,5266.111111,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10474609.86,1558655.241
"vi201103.027","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",0,1,902558.6354,485109.309,417449.3264,33939019.19,28626526.85,4623201.223,689291.1213,37.60311836,1.162079511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28626526.85,4623201.223
"vi201104.009","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",0,1,825159.9147,467213.833,357946.0817,36735607.68,31173468.47,4822707.812,739431.3914,44.51937984,1.305263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31173468.47,4822707.812
"vi201103.013","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",0,2,2302.771855,328.9674079,1973.804447,12777569.3,10998407.65,1675072.565,104089.0803,5548.777778,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10998407.65,1675072.565
"vi201103.028","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",0,2,857782.516,513137.7551,344644.7609,34344562.9,28800530.59,4845791.468,698240.8456,40.03877703,1.488888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28800530.59,4845791.468
"vi201104.010","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",0,2,770149.2537,451553.3084,318595.9454,34180810.23,28994947.52,4534163.387,651699.3248,44.3820598,1.417322835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28994947.52,4534163.387
"vi201103.014","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",0,3,4349.680171,0,4349.680171,11726993.6,9998794.39,1618093.744,110105.4695,2696.058824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9998794.39,1618093.744
"vi201103.029","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",0,3,810447.7612,490097.5438,320350.2174,34106609.81,28548909.37,4803640.582,754059.8588,42.08366219,1.529880478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28548909.37,4803640.582
"vi201104.011","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",0,3,841791.0448,488741.3678,353049.677,34688699.36,29698408.51,4346016.308,644274.5383,41.20820669,1.384341637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29698408.51,4346016.308
"vi201103.030","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",3,1,905117.2708,523410.5515,381706.7193,31519829.42,26589821.09,4314708.789,615299.548,34.82402827,1.371237458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26589821.09,4314708.789
"vi201104.012","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",3,1,830277.1855,472290.8045,357986.381,34512153.52,29321777.77,4527238.111,663137.6347,41.56702619,1.319298246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29321777.77,4527238.111
"vi201103.031","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",3,2,891044.7761,534882.1794,356162.5968,31380383.8,26307204.83,4426186.896,646992.0656,35.21751615,1.501792115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26307204.83,4426186.896
"vi201104.013","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",3,2,828997.8678,476045.7453,352952.1225,34224307.04,29019439.13,4472480.345,732387.5649,41.28395062,1.348754448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29019439.13,4472480.345
"vi201103.032","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",3,3,828358.209,510544.3507,317813.8583,31706609.81,26584782.6,4444330.125,677497.0845,38.27644788,1.606425703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26584782.6,4444330.125
"vi201104.014","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",3,3,811087.42,450743.6282,360343.7919,34189765.46,29036656.98,4481237.924,671870.5523,42.15299685,1.25087108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29036656.98,4481237.924
"vi201103.042","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",6,1,884648.1876,556632.5675,328015.6201,30381876.33,26179156.39,3625017.882,577702.0565,34.34345625,1.696969697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26179156.39,3625017.882
"vi201104.032","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",6,1,807249.467,409327.4377,397922.0292,52775692.96,47907016.42,4228394.86,640281.6804,65.37717908,1.02866242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47907016.42,4228394.86
"vi201103.043","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",6,2,928144.9893,610883.6324,317261.3569,28878678.04,24715861.94,3550820.935,611995.1665,31.11440386,1.925490196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24715861.94,3550820.935
"vi201104.033","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",6,2,825159.9147,498138.013,327021.9017,34220469.08,29199885.53,4295065.697,725517.8542,41.47131783,1.523255814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29199885.53,4295065.697
"vi201103.044","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",6,3,943496.8017,604933.3056,338563.4961,28714925.37,24730002.05,3425460.568,559462.7541,30.43457627,1.786764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24730002.05,3425460.568
"vi201104.034","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",6,3,789339.0192,416841.954,372497.0652,36909594.88,32154278.02,4074542.418,680774.4462,46.76012966,1.119047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32154278.02,4074542.418
"vi201103.045","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",17.5,1,2115351.812,1791857.15,323494.6619,68129424.31,63727850.44,3821619.66,579954.2095,32.20713638,5.5390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63727850.44,3821619.66
"vi201104.035","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",17.5,1,772707.8891,466158.202,306549.6872,33117697.23,28211651.98,4189686.972,716358.2781,42.85927152,1.520661157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28211651.98,4189686.972
"vi201103.046","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",17.5,2,2348187.633,2048338.243,299849.3907,49089339.02,44881681.39,3592148.96,615508.6701,20.90520294,6.831223629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44881681.39,3592148.96
"vi201104.036","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",17.5,2,809808.1023,405537.7038,404270.3985,47185074.63,42129033.35,4396172.166,659869.115,58.26698262,1.003134796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42129033.35,4396172.166
"vi201103.047","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",17.5,3,1946481.876,1618281.301,328200.5758,56943070.36,52907933.68,3426011.757,609124.9232,29.25435426,4.930769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52907933.68,3426011.757
"vi201104.037","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",17.5,3,763752.6652,445839.0351,317913.6301,31136034.12,26780013.48,3746152.547,609868.0903,40.76716918,1.402390438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26780013.48,3746152.547
"vi201103.056","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",20.5,1,3259701.493,2851281.572,408419.9208,101012366.7,96187842.35,4203974.073,620550.3168,30.98822606,6.98125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96187842.35,4203974.073
"vi201104.052","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",20.5,1,679957.3561,398207.0704,281750.2857,52933688.7,46698290.35,5652176.868,583221.4803,77.84854186,1.413333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46698290.35,5652176.868
"vi201103.057","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",20.5,2,3223880.597,2853759.705,370120.892,56796588.49,52186944.25,3797071.031,812573.2007,17.61746032,7.710344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52186944.25,3797071.031
"vi201104.053","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",20.5,2,550746.2687,360103.3295,190642.9392,45562260.13,39596678,5369277.126,596305.005,82.728223,1.888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39596678,5369277.126
"vi201103.058","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",20.5,3,2814498.934,2470022.636,344476.2974,81418336.89,77070607.86,3783946.412,563782.6197,28.92818182,7.17037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77070607.86,3783946.412
"vi201104.054","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",20.5,3,699147.1215,436027.2371,263119.8844,37720042.64,32167775.67,4938296.158,613970.8194,53.95150961,1.657142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32167775.67,4938296.158
"vi201103.015","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",24,1,1791.044776,895.5223881,895.5223881,9907803.838,8238011.873,1581134.928,88657.03695,5531.857143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8238011.873,1581134.928
"vi201103.059","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",24,1,3878891.258,3500961.103,377930.1555,135175266.5,130205849.8,4363203.911,606212.8026,34.84894459,9.263513514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130205849.8,4363203.911
"vi201104.060","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",24,1,670362.4733,414405.8926,255956.5807,73359914.71,67305818.82,5366015.888,688080.0081,109.4332061,1.619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67305818.82,5366015.888
"vi201103.016","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",24,2,767.5906183,383.7953092,383.7953092,9745074.627,8055300.265,1580364.511,109409.8508,12695.66667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8055300.265,1580364.511
