"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,458625.479531729,0.714177496772995,"LM_ALLPOINTS"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,127764.961305943,0.0648810714863555,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,693868.809919696,0.851409029950939,"LM_SR_AVG"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,44048.8999334364,0.32843969559517,"LM_SR_AVG"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,592213.7898153,0.857023779781683,"LM_AR"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,592213.7898153,0.857023779781683,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,592213.7898153,0.857023779781684,"LM_AR_DIFF_LMER"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4327943.61555555,77902985.08,945883.919931389,NA,"VPCL_SR_AVG"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",385767.590638889,6538166.31,127655.318227045,NA,"VPCL_SR_AVG"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4327943.61555556,77902985.08,NA,NA,"VPCL_AR"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",328358.208888889,4925373.13333333,NA,NA,"VPCL_AR"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",3477053.15724138,50417270.78,918754.516851122,NA,"VPCL_AR_SE"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",0,0,0,NA,"VPCL_AR_SE"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4327943.61555556,77902985.08,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",328358.208888889,4925373.13333333,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",3477053.15724138,50417270.78,918754.516851122,NA,"VPCL_AR_DIFF_SE"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",0,0,0,NA,"VPCL_AR_DIFF_SE"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4327943.61555556,77902985.08,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",328358.208888889,4925373.13333334,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4327943.61555556,77902985.08,787373.630158293,NA,"VPCL_AR_DIFF_LMER_SE"
