"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_10","Rate_BS_10","P_BP_Lysed_BS_10","P_B_Loss_BS_10","P_Cells_BS_25","Rate_BS_25","P_BP_Lysed_BS_25","P_B_Loss_BS_25","P_Cells_BS_40","Rate_BS_40","P_BP_Lysed_BS_40","P_B_Loss_BS_40","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_10","Total_DOC_BS_10","DON_B_BS_10","Total_DON_BS_10","DOP_B_BS_10","Total_DOP_BS_10","DOC_B_BS_25","Total_DOC_BS_25","DON_B_BS_25","Total_DON_BS_25","DOP_B_BS_25","Total_DOP_BS_25","DOC_B_BS_40","Total_DOC_BS_40","DON_B_BS_40","Total_DON_BS_40","DOP_B_BS_40","Total_DOP_BS_40"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333335,-2594456.29,50303.3633057714,0.986647401000397,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,-3260800.32557889,-9782400.97673665,189668.899889432,-30.2761881065069,-326080.032557889,-120.770382428848,-242.209504852056,-12.1104752426028,-130432.013023156,-48.3081529715391,-96.8838019408224,-7.56904702662673,-81520.0081394723,-30.1925956072119,-60.552376213014,-0.0159306676112932,-2.87104752111436e-11,-1.13285837872162e-11,-4.1108261778792e-12,-6.19552061859989e-09,-6.22423109381103e-09,-1.63040016278945e-09,-1.64172874657666e-09,-2.60864026046311e-10,-2.6497485222419e-10,-2.47820824743996e-09,-2.5069187226511e-09,-6.52160065115778e-10,-6.63488648902994e-10,-1.04345610418524e-10,-1.08456436596404e-10,-1.54888015464997e-09,-1.57759062986112e-09,-4.07600040697361e-10,-4.18928624484578e-10,-6.52160065115778e-11,-6.9326832689457e-11
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222223,-4804904.05333334,70874.2879186495,0.94802116388009,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,-3019482.880069,-18116897.280414,267231.599172909,-56.0711620053687,-301948.2880069,-111.832699261815,-224.284648021475,-22.4284648021475,-120779.31520276,-44.7330797047259,-89.7138592085899,-14.0177905013422,-75487.0720017249,-27.9581748154537,-56.0711620053687,-0.0147517091871701,-2.65857396108126e-11,-1.04902052826108e-11,-3.80660206933772e-12,-5.73701747213109e-09,-5.7636032117419e-09,-1.5097414400345e-09,-1.52023164531711e-09,-2.4155863040552e-10,-2.45365232474857e-10,-2.29480698885244e-09,-2.32139272846325e-09,-6.03896576013799e-10,-6.1438678129641e-10,-9.66234521622079e-11,-1.00430054231546e-10,-1.43425436803277e-09,-1.46084010764359e-09,-3.77435360008624e-10,-3.87925565291235e-10,-6.03896576013799e-11,-6.41962596707176e-11
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,313474.817302074,0.710114304739087,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,5849954.63293337,102374206.076334,1181957.22578859,316.844579136783,584995.463293337,216.664986404939,434.529708530447,126.737831654713,233998.185317335,86.6659945619758,173.811883412179,79.2111447841958,146248.865823334,54.1662466012349,108.632427132612,0.0285800029113593,5.1507286771793e-11,2.03237532487777e-11,7.37492156628724e-12,1.11149138025734e-08,1.11664210893452e-08,2.92497731646668e-09,2.94530106971546e-09,4.67996370634669e-10,4.75371292200956e-10,4.44596552102936e-09,4.49747280780115e-09,1.16999092658667e-09,1.19031467983545e-09,1.87198548253868e-10,1.94573469820155e-10,2.77872845064335e-09,2.83023573741514e-09,7.31244329116671e-10,7.51568082365448e-10,1.16999092658667e-10,1.24374014224955e-10
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,395260.813377278,0.708777563510705,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,8382954.39338957,171850565.064486,1490331.43543444,531.871474750934,838295.439338957,310.479792347762,622.67879970841,212.748589900373,335318.175735583,124.191916939105,249.071519883364,132.967868687733,209573.859834739,77.6199480869404,155.669699927102,0.0409549946968957,7.38096725578652e-11,2.91238321110836e-11,1.05682240332197e-11,1.59276133474402e-08,1.6001423019998e-08,4.19147719669478e-09,4.22060102880587e-09,6.70636351471165e-10,6.81204575504385e-10,6.37104533897607e-09,6.44485501153394e-09,1.67659087867791e-09,1.705714710789e-09,2.68254540588466e-10,2.78822764621686e-10,3.98190333686004e-09,4.05571300941791e-09,1.0478692991737e-09,1.07699313128478e-09,1.67659087867791e-10,1.78227311901011e-10
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,458625.479531729,0.714177496772995,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,10933825.6382819,262411815.318767,1729247.99551258,812.155369714899,1093382.56382819,404.956505121554,812.155369714899,324.86214788596,437353.025531278,161.982602048621,324.862147885959,203.038842428725,273345.640957049,101.239126280388,203.038842428725,0.0534172977710258,9.6269411987111e-11,3.79859995984576e-11,1.37840567254718e-11,2.07742687127357e-08,2.08705381247228e-08,5.46691281914097e-09,5.50489881873943e-09,8.74706051062556e-10,8.88490107788028e-10,8.30970748509428e-09,8.40597689708139e-09,2.18676512765639e-09,2.22475112725485e-09,3.49882420425022e-10,3.63666477150494e-10,5.19356717818393e-09,5.28983659017104e-09,1.36672820478524e-09,1.4047142043837e-09,2.18676512765639e-10,2.32460569491111e-10
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-170717.838888891,-512153.516666674,396013.088647947,0.0443972556493004,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-637886.103643871,-1913658.31093162,1479700.35090487,-4.06911738675479,-63788.6103643871,-23.6254112460693,-32.5529390940383,-1.62764695470192,-25515.4441457549,-9.45016449842772,-13.0211756376153,-1.0172793466887,-15947.1525910968,-5.90635281151733,-8.13823477350957,-0.00416676744615457,-5.66753462034949e-12,-2.23629669454784e-12,-8.11489517677035e-13,-1.21198359692336e-09,-1.21765113154371e-09,-3.18943051821936e-10,-3.21179348516484e-10,-5.10308882915097e-11,-5.18423778091867e-11,-4.84793438769342e-10,-4.90460973389692e-10,-1.27577220728774e-10,-1.29813517423322e-10,-2.04123553166039e-11,-2.12238448342809e-11,-3.02995899230839e-10,-3.08663433851188e-10,-7.97357629554839e-11,-8.19720596500318e-11,-1.27577220728774e-11,-1.35692115905545e-11
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-417555.081111112,-2505330.48666667,288792.844860051,0.229967189804434,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-1560191.86676806,-9361151.20060836,1079072.6017092,-19.905132955471,-156019.186676806,-57.7848839543726,-79.6205318218842,-7.96205318218841,-62407.6746707224,-23.1139535817491,-31.8482127287537,-4.97628323886776,-39004.7966692015,-14.4462209885932,-19.905132955471,-0.0101914066524856,-1.38621007242264e-11,-5.46970986604492e-12,-1.98480471390562e-12,-2.96436454685932e-09,-2.97822664758354e-09,-7.80095933384031e-10,-7.85565643250075e-10,-1.24815349341445e-10,-1.2680015405535e-10,-1.18574581874373e-09,-1.19960791946795e-09,-3.12038373353612e-10,-3.17508083219657e-10,-4.9926139736578e-11,-5.19109444504836e-11,-7.41091136714829e-10,-7.54953237439055e-10,-1.95023983346008e-10,-2.00493693212053e-10,-3.12038373353612e-11,-3.31886420492668e-11
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-881236.673333335,-7931130.06000001,378502.256500875,0.351517231564603,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-3292735.14472346,-29634616.3025111,1414271.23955625,-63.0137218110009,-329273.514472346,-121.953153508276,-168.036591496003,-25.2054887244004,-131709.405788938,-48.7812614033105,-67.214636598401,-15.7534304527502,-82318.3786180864,-30.488288377069,-42.0091478740006,-0.0215086385037518,-2.9255521200036e-11,-1.15436481185324e-11,-4.18886700802254e-12,-6.25619677497457e-09,-6.2854522961746e-09,-1.64636757236173e-09,-1.65791122048026e-09,-2.63418811577876e-10,-2.67607678585899e-10,-2.50247870998983e-09,-2.53173423118986e-09,-6.58547028944691e-10,-6.70090677063224e-10,-1.05367524631151e-10,-1.09556391639173e-10,-1.56404919374364e-09,-1.59330471494368e-09,-4.11591893090432e-10,-4.23135541208964e-10,-6.58547028944691e-11,-7.00435699024916e-11
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-492565.742444444,-5910788.90933333,259162.544946347,0.217447361834162,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-1840468.71891829,-22085624.6270195,968359.17723776,-46.9618837666974,-184046.871891829,-68.165508108085,-93.9237675333947,-18.7847535066789,-73618.7487567318,-27.266203243234,-37.5695070133579,-11.7404709416743,-46011.7179729574,-17.0413770270212,-23.4809418833487,-0.0120222169754869,-1.63523239063431e-11,-6.45230251768194e-12,-2.34136010250586e-12,-3.49689056594476e-09,-3.5132428898511e-09,-9.20234359459147e-10,-9.26686661976829e-10,-1.47237497513464e-10,-1.49578857615969e-10,-1.3987562263779e-09,-1.41510855028425e-09,-3.68093743783659e-10,-3.74546046301341e-10,-5.88949990053854e-11,-6.12363591078913e-11,-8.7422264148619e-10,-8.90574965392533e-10,-2.30058589864787e-10,-2.36510892382469e-10,-3.68093743783659e-11,-3.91507344808717e-11
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,127764.961305943,0.0648810714863555,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-502992.580070058,-12071821.9216814,477392.953660224,-25.6689818609299,-50299.2580070058,-18.6293548174095,-25.6689818609299,-10.267592744372,-20119.7032028023,-7.45174192696382,-10.2675927443719,-6.41724546523248,-12574.8145017514,-4.65733870435239,-6.41724546523247,-0.00328562277234263,-4.46902330218736e-12,-1.76338791167765e-12,-6.3988414838405e-13,-9.5568590213311e-10,-9.60154925435297e-10,-2.51496290035029e-10,-2.53259677946707e-10,-4.02394064056046e-11,-4.08792905539887e-11,-3.82274360853244e-10,-3.86743384155431e-10,-1.00598516014012e-10,-1.02361903925689e-10,-1.60957625622418e-11,-1.67356467106259e-11,-2.38921475533277e-10,-2.43390498835465e-10,-6.28740725087572e-11,-6.46374604204349e-11,-1.00598516014012e-11,-1.06997357497852e-11
