"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","Replicate"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-806396.589999995,-2419189.76999998,NA,1,"LM_SR","1"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-592857.143333335,-3557142.86000001,123287.057015604,0.958547704198926,"LM_SR","1"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",2178945.18895055,38131540.8066347,662781.107861237,0.843849729490264,"LM_SR","1"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",3181782.04150743,65226531.8509023,733797.06247072,0.862393809972948,"LM_SR","1"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4038518.71095269,96924449.0628647,776552.097423106,0.871158915369878,"LM_SR","1"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-988059.699999997,-2964179.09999999,NA,1,"LM_SR","2"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-910980.810000003,-5465884.86000002,44501.5178903386,0.997619347236675,"LM_SR","2"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",993302.127812167,17382787.2367129,455051.456824461,0.70435051889716,"LM_SR","2"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",1232044.05636943,25256903.1555733,308601.33827611,0.841595414457204,"LM_SR","2"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",1643534.69648489,39444832.7156373,353535.215902018,0.843822429068982,"LM_SR","2"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-800000.000000001,-2400000,NA,1,"LM_SR","3"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-898614.073333335,-5391684.44000001,56934.8617848842,0.996001747567925,"LM_SR","3"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1482270.00359303,25939725.062878,568947.633649129,0.772404066486483,"LM_SR","3"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2256072.87879587,46249494.0153154,585383.396131569,0.83196464234558,"LM_SR","3"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",3017446.67494415,72418720.1986597,660307.56370508,0.839245745413956,"LM_SR","3"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",205543.710000004,616631.130000012,NA,1,"LM_SR","1"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-813432.835000001,-4880597.01000001,588306.382553665,0.656566611120903,"LM_SR","1"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-1921961.62,-17297654.58,691977.53022903,0.794121305221528,"LM_SR","1"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-836289.978333333,-10035479.74,743306.983657282,0.296738043244253,"LM_SR","1"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-100191.8975,-2404605.54,385678.757355384,0.0165915781421648,"LM_SR","1"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",241364.606666667,724093.82,NA,1,"LM_SR","2"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-260767.59,-1564605.54,289906.158914278,0.447233346933335,"LM_SR","2"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-251044.775666667,-2259402.981,129771.442293003,0.651710385567342,"LM_SR","2"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-244434.967666667,-2933219.61200001,75020.7011355378,0.779672367979455,"LM_SR","2"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-81599.1472500003,-1958379.53400001,57139.2611726104,0.337682337202207,"LM_SR","2"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-959061.833333333,-2877185.5,NA,1,"LM_SR","3"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-178464.818333336,-1070788.91000002,450677.89673887,0.135553525753585,"LM_SR","3"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-470703.624333333,-4236332.619,262849.678014949,0.615891444283771,"LM_SR","3"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-396972.281333333,-4763667.376,157613.730549452,0.678922844155193,"LM_SR","3"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-222057.569083333,-5329381.658,84896.9250971239,0.631045171441137,"LM_SR","3"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",3282395.47652174,37747547.98,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",4871068.30137931,70630490.37,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",5821855.00944444,104793390.17,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1757448.78086957,20210660.98,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",1925373.13448276,27917910.45,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2575870.64666667,46365671.64,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",2454621.30347826,28228144.99,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",3634718.03586207,52703411.52,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4586105.19055555,82549893.43,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",205543.710000001,616631.130000003,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",205543.710000001,616631.130000003,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",205543.710000001,616631.130000003,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",2410234.54166667,14461407.25,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",601492.537333334,15578251.6,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",241364.606666667,724093.82,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",241364.606666667,724093.82,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",241364.606666667,724093.82,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",241364.606666667,724093.82,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",159648.187916667,1659275.05,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",602132.196666667,1806396.59,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",602132.196666667,1806396.59,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",396162.046666666,2376972.28,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",396162.046666666,2376972.28,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T3","c_V1","VP",-678901.919999998,-2036705.75999999,NA,1,"LM_SR","1"
"NJ2020",2,1,"T0_T6","c_V1","VP",-407895.076666669,-2447370.46000001,156465.873950732,0.871730197939724,"LM_SR","1"
"NJ2020",2,1,"T0_T17.5","c_V1","VP",2223490.90833867,38911090.8959267,629644.167505371,0.861786809659518,"LM_SR","1"
"NJ2020",2,1,"T0_T20.5","c_V1","VP",3201720.65379739,65635273.4028465,710427.787275565,0.871304279296996,"LM_SR","1"
"NJ2020",2,1,"T0_T24","c_V1","VP",4045836.84454337,97100084.2690408,759356.778394942,0.876495021896623,"LM_SR","1"
"NJ2020",2,1,"T0_T3","c_V1","VP",-831108.586666669,-2493325.76000001,NA,1,"LM_SR","2"
"NJ2020",2,1,"T0_T6","c_V1","VP",-680778.108333334,-4084668.65000001,86793.3421331564,0.98400591609675,"LM_SR","2"
"NJ2020",2,1,"T0_T17.5","c_V1","VP",1061394.45741017,18574403.0046781,416674.556012811,0.764393481291709,"LM_SR","2"
"NJ2020",2,1,"T0_T20.5","c_V1","VP",1272950.17100394,26095478.5055808,280526.963769174,0.87283187509902,"LM_SR","2"
"NJ2020",2,1,"T0_T24","c_V1","VP",1668262.81602825,40038307.5846781,332970.337638278,0.862555001116748,"LM_SR","2"
"NJ2020",2,1,"T0_T3","c_V1","VP",-654708.923333331,-1964126.76999999,NA,1,"LM_SR","3"
"NJ2020",2,1,"T0_T6","c_V1","VP",-636484.553333336,-3818907.32000002,10521.844925313,0.999726794530903,"LM_SR","3"
"NJ2020",2,1,"T0_T17.5","c_V1","VP",1561927.66125934,27333734.0720384,525213.902777623,0.815566444198059,"LM_SR","3"
"NJ2020",2,1,"T0_T20.5","c_V1","VP",2309534.86917197,47345464.8180255,557243.297130373,0.851319359412196,"LM_SR","3"
"NJ2020",2,1,"T0_T24","c_V1","VP",3050385.6332523,73209255.1980552,637203.731828735,0.85139360389387,"LM_SR","3"
"NJ2020",6,1,"T0_T3","c_V1","VP",233133.240000001,699399.720000003,NA,1,"LM_SR","1"
"NJ2020",6,1,"T0_T6","c_V1","VP",-852463.956666669,-5114783.74000002,626769.833727002,0.649104006028147,"LM_SR","1"
"NJ2020",6,1,"T0_T9","c_V1","VP",-1681146.37693333,-15130317.3924,554502.422099046,0.821298951347612,"LM_SR","1"
"NJ2020",6,1,"T0_T12","c_V1","VP",-717193.3032,-8606319.6384,642048.405359401,0.29374820331987,"LM_SR","1"
"NJ2020",6,1,"T0_T24","c_V1","VP",-72393.9748333337,-1737455.39600001,334573.736543648,0.011569307990822,"LM_SR","1"
"NJ2020",6,1,"T0_T3","c_V1","VP",289948.570000003,869845.710000008,NA,1,"LM_SR","2"
"NJ2020",6,1,"T0_T6","c_V1","VP",-186943.733333335,-1121662.40000001,275333.89970396,0.315538061896977,"LM_SR","2"
"NJ2020",6,1,"T0_T9","c_V1","VP",-210113.637666667,-1891022.739,123857.577163625,0.589980600928187,"LM_SR","2"
"NJ2020",6,1,"T0_T12","c_V1","VP",-202910.445,-2434925.34,71630.0342161871,0.72787904705849,"LM_SR","2"
"NJ2020",6,1,"T0_T24","c_V1","VP",-95218.9885000004,-2285255.72400001,43914.5845716136,0.540305212843285,"LM_SR","2"
"NJ2020",6,1,"T0_T3","c_V1","VP",-882847.066666663,-2648541.19999999,NA,1,"LM_SR","3"
"NJ2020",6,1,"T0_T6","c_V1","VP",-279.603333334441,-1677.62000000665,509550.562533506,3.01099467670515e-07,"LM_SR","3"
"NJ2020",6,1,"T0_T9","c_V1","VP",-378064.158000001,-3402577.42200001,315439.500386164,0.418008720494366,"LM_SR","3"
"NJ2020",6,1,"T0_T12","c_V1","VP",-340475.245333333,-4085702.944,183407.56505602,0.534607311487177,"LM_SR","3"
"NJ2020",6,1,"T0_T24","c_V1","VP",-193700.829083334,-4648819.89800001,90013.4169790953,0.536539212087768,"LM_SR","3"
"NJ2020",2,1,"T0_T3","c_V1","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T6","c_V1","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T17.5","c_V1","VP",3265103.83043478,37548694.05,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T20.5","c_V1","VP",4828185.23862069,70008685.96,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T24","c_V1","VP",5779260.745,104026693.41,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T3","c_V1","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T6","c_V1","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T17.5","c_V1","VP",1753549.5173913,20165819.45,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T20.5","c_V1","VP",1894557.40068965,27471082.31,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T24","c_V1","VP",2540647.27388889,45731650.93,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T3","c_V1","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T6","c_V1","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T17.5","c_V1","VP",2450254.92434783,28177931.63,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T20.5","c_V1","VP",3609696.95241379,52340605.81,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T24","c_V1","VP",4547228.675,81850116.15,NA,NA,"VPCL_SR","3"
