"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_5","Rate_BS_5","P_BP_Lysed_BS_5","P_B_Loss_BS_5","P_Cells_BS_15","Rate_BS_15","P_BP_Lysed_BS_15","P_B_Loss_BS_15","P_Cells_BS_30","Rate_BS_30","P_BP_Lysed_BS_30","P_B_Loss_BS_30","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_5","Total_DOC_BS_5","DON_B_BS_5","Total_DON_BS_5","DOP_B_BS_5","Total_DOP_BS_5","DOC_B_BS_15","Total_DOC_BS_15","DON_B_BS_15","Total_DON_BS_15","DOP_B_BS_15","Total_DOP_BS_15","DOC_B_BS_30","Total_DOC_BS_30","DON_B_BS_30","Total_DON_BS_30","DOP_B_BS_30","Total_DOP_BS_30"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333335,-2594456.29,50303.3633057714,0.986647401000397,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,-3260800.32557889,-9782400.97673665,189668.899889432,-60.5523762130139,-652160.065115778,-652.160065115778,-484.419009704112,-20.184125404338,-217386.688371926,-217.386688371926,-161.473003234704,-10.092062702169,-108693.344185963,-108.693344185963,-80.736501617352,-0.0159306676112932,-4.32409381666667e-09,-8.64818763333335e-10,-4.32409381666668e-11,-1.63040016278945e-08,-2.06280954445611e-08,-5.21728052092622e-09,-6.08209928425956e-09,-6.52160065115778e-10,-6.95401003282445e-10,-5.43466720929815e-09,-9.75876102596482e-09,-1.73909350697541e-09,-2.60391227030874e-09,-2.17386688371926e-10,-2.60627626538593e-10,-2.71733360464907e-09,-7.04142742131575e-09,-8.69546753487704e-10,-1.73436551682104e-09,-1.08693344185963e-10,-1.5193428235263e-10
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222223,-4804904.05333334,70874.2879186495,0.94802116388009,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,-3019482.880069,-18116897.280414,267231.599172909,-112.142324010737,-603896.576013799,-603.896576013799,-448.569296042949,-37.3807746702458,-201298.858671266,-201.298858671266,-149.523098680983,-18.6903873351229,-100649.429335633,-100.649429335633,-74.7615493404916,-0.0147517091871701,-4.00408671111111e-09,-8.00817342222223e-10,-4.00408671111111e-11,-1.5097414400345e-08,-1.91015011114561e-08,-4.83117260811039e-09,-5.63198995033262e-09,-6.03896576013799e-10,-6.4393744312491e-10,-5.03247146678166e-09,-9.03655817789277e-09,-1.61039086937013e-09,-2.41120821159235e-09,-2.01298858671266e-10,-2.41339725782378e-10,-2.51623573339083e-09,-6.52032244450194e-09,-8.05195434685066e-10,-1.60601277690729e-09,-1.00649429335633e-10,-1.40690296446744e-10
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,313474.817302074,0.710114304739087,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,5849954.63293337,102374206.076334,1181957.22578859,633.689158273566,1169990.92658667,1169.99092658667,869.059417060894,211.229719424522,389996.975528891,389.996975528891,289.686472353631,105.614859712261,194998.487764446,194.998487764446,144.843236176816,0.0285800029113593,7.7575288672596e-09,1.55150577345192e-09,7.7575288672596e-11,2.92497731646668e-08,3.70073020319264e-08,9.35992741269339e-09,1.09114331861453e-08,1.16999092658667e-09,1.24756621525927e-09,9.74992438822228e-09,1.75074532554819e-08,3.11997580423113e-09,4.67148157768305e-09,3.89996975528891e-10,4.67572264201487e-10,4.87496219411114e-09,1.26324910613707e-08,1.55998790211556e-09,3.11149367556748e-09,1.94998487764446e-10,2.72573776437042e-10
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,395260.813377278,0.708777563510705,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,8382954.39338957,171850565.064486,1490331.43543444,1063.74294950187,1676590.87867791,1676.59087867791,1245.35759941682,354.580983167289,558863.626225971,558.863626225971,415.119199805606,177.290491583645,279431.813112986,279.431813112986,207.559599902803,0.0409549946968957,1.11164982944545e-08,2.22329965889091e-09,1.11164982944545e-10,4.19147719669478e-08,5.30312702614024e-08,1.34127270294233e-08,1.56360266883142e-08,1.67659087867791e-09,1.78775586162246e-09,1.39715906556493e-08,2.50880889501038e-08,4.47090900980777e-09,6.69420866869868e-09,5.58863626225971e-10,6.70028609170517e-10,6.98579532782464e-09,1.81022936222792e-08,2.23545450490388e-09,4.45875416379479e-09,2.79431813112986e-10,3.90596796057531e-10
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,458625.479531729,0.714177496772995,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,10933825.6382819,262411815.318767,1729247.99551258,1624.3107394298,2186765.12765639,2186.76512765639,1624.3107394298,541.436913143266,728921.709218797,728.921709218797,541.436913143266,270.718456571633,364460.854609398,364.460854609398,270.718456571633,0.0534172977710258,1.44991668039696e-08,2.89983336079391e-09,1.44991668039696e-10,5.46691281914098e-08,6.91682949953793e-08,1.74941210212511e-08,2.0393954382045e-08,2.18676512765639e-09,2.33175679569609e-09,1.82230427304699e-08,3.27222095344395e-08,5.83137367375037e-09,8.73120703454428e-09,7.28921709218797e-10,8.73913377258492e-10,9.11152136523496e-09,2.36106881692045e-08,2.91568683687519e-09,5.8155201976691e-09,3.64460854609398e-10,5.09452522649094e-10
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-170717.838888891,-512153.516666674,396013.088647947,0.0443972556493004,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-637886.103643871,-1913658.31093162,1479700.35090487,-8.13823477350958,-127577.220728774,-127.577220728774,-65.1058781880765,-2.71274492450319,-42525.7402429248,-42.5257402429248,-21.7019593960255,-1.3563724622516,-21262.8701214624,-21.2628701214624,-10.8509796980128,-0.00416676744615457,-8.53589194444455e-10,-1.70717838888891e-10,-8.53589194444455e-12,-3.18943051821936e-09,-4.04301971266381e-09,-1.02061776583019e-09,-1.19133560471909e-09,-1.27577220728774e-10,-1.36113112673219e-10,-1.06314350607312e-09,-1.91673270051757e-09,-3.40205921943398e-10,-5.10923760832289e-10,-4.25257402429248e-11,-5.10616321873693e-11,-5.3157175303656e-10,-1.38516094748101e-09,-1.70102960971699e-10,-3.4082079986059e-10,-2.12628701214624e-11,-2.97987620659069e-11
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-417555.081111112,-2505330.48666667,288792.844860051,0.229967189804434,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-1560191.86676806,-9361151.20060836,1079072.6017092,-39.8102659109421,-312038.373353612,-312.038373353612,-159.241063643768,-13.2700886369807,-104012.791117871,-104.012791117871,-53.0803545479228,-6.63504431849034,-52006.3955589354,-52.0063955589354,-26.5401772739614,-0.0101914066524856,-2.08777540555556e-09,-4.17555081111112e-10,-2.08777540555556e-11,-7.8009593338403e-09,-9.88873473939586e-09,-2.4963069868289e-09,-2.91386206794001e-09,-3.12038373353612e-10,-3.32916127409168e-10,-2.60031977794677e-09,-4.68809518350233e-09,-8.32102328942966e-10,-1.24965741005408e-09,-1.04012791117871e-10,-1.24890545173426e-10,-1.30015988897338e-09,-3.38793529452894e-09,-4.16051164471483e-10,-8.33606245582595e-10,-5.20063955589354e-11,-7.2884149614491e-11
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-881236.673333335,-7931130.06000001,378502.256500875,0.351517231564603,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-3292735.14472346,-29634616.3025111,1414271.23955625,-126.027443622002,-658547.028944691,-658.547028944691,-336.073182992005,-42.0091478740006,-219515.676314897,-219.515676314897,-112.024394330668,-21.0045739370003,-109757.838157449,-109.757838157449,-56.0121971653342,-0.0215086385037518,-4.40618336666667e-09,-8.81236673333335e-10,-4.40618336666668e-11,-1.64636757236173e-08,-2.0869859090284e-08,-5.26837623155753e-09,-6.14961290489086e-09,-6.58547028944691e-10,-7.02608862611358e-10,-5.48789190787243e-09,-9.8940752745391e-09,-1.75612541051918e-09,-2.63736208385251e-09,-2.19515676314897e-10,-2.63577509981564e-10,-2.74394595393621e-09,-7.15012932060289e-09,-8.78062705259588e-10,-1.75929937859292e-09,-1.09757838157449e-10,-1.53819671824115e-10
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-492565.742444444,-5910788.90933333,259162.544946347,0.217447361834162,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-1840468.71891829,-22085624.6270195,968359.17723776,-93.9237675333947,-368093.743783659,-368.093743783659,-187.847535066789,-31.3079225111316,-122697.914594553,-122.697914594553,-62.6158450222631,-15.6539612555658,-61348.9572972765,-61.3489572972765,-31.3079225111316,-0.0120222169754869,-2.46282871222222e-09,-4.92565742444444e-10,-2.46282871222222e-11,-9.20234359459147e-09,-1.16651723068137e-08,-2.94474995026927e-09,-3.43731569271372e-09,-3.68093743783659e-10,-3.92722030905881e-10,-3.06744786486382e-09,-5.53027657708604e-09,-9.81583316756424e-10,-1.47414905920087e-09,-1.22697914594553e-10,-1.47326201716775e-10,-1.53372393243191e-09,-3.99655264465413e-09,-4.90791658378212e-10,-9.83357400822656e-10,-6.13489572972765e-11,-8.59772444194987e-11
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,127764.961305943,0.0648810714863555,"LM_ALLPOINTS",1258635.39433333,4702883.031,153088962.1,-502992.580070058,-12071821.9216814,477392.953660224,-51.3379637218598,-100598.516014012,-100.598516014012,-51.3379637218597,-17.1126545739533,-33532.8386713372,-33.5328386713372,-17.1126545739532,-8.55632728697664,-16766.4193356686,-16.7664193356686,-8.55632728697662,-0.00328562277234263,-6.73081023055555e-10,-1.34616204611111e-10,-6.73081023055555e-12,-2.51496290035029e-09,-3.18804392340584e-09,-8.04788128112093e-10,-9.39404332723203e-10,-1.00598516014012e-10,-1.07329326244567e-10,-8.3832096678343e-10,-1.51140198983898e-09,-2.68262709370698e-10,-4.02878913981809e-10,-3.35328386713372e-11,-4.02636489018927e-11,-4.19160483391715e-10,-1.09224150644727e-09,-1.34131354685349e-10,-2.6874755929646e-10,-1.67664193356686e-11,-2.34972295662241e-11
