"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,592213.7898153,0.857023779781683,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4327943.61555556,77902985.08,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",328358.208888889,4925373.13333333,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4327943.61555556,77902985.08,787373.630158293,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",1525799.57333334,4577398.72000001,1396801.36604058,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V1","VP",2921495.09794131,70115882.3505913,571809.097208634,0.867127595050015,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V1","VP",-120437.930805556,-2890510.33933333,135160.036885891,0.165626708156031,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V1","VP",4289045.56462963,77202820.1633333,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V1","VP",275890.258577778,4138353.87866667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V1","VP",4289045.56462963,77202820.1633333,782774.739473655,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V1","VP",1334679.534,4004038.60199999,1230169.85597945,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V2","VP",-21928.6179577311,-526286.830985546,20489.0507043403,0.222615234788414,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V2","VP",-13539.1209444445,-324938.902666667,19116.2286504076,0.111431374125557,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V2","VP",32394.8053888889,583106.497,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V2","VP",42285.2874,634279.311,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V2","VP",105023.459888889,315070.379666667,77681.7967968087,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V2","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V3","VP",266.880601434509,6405.13443442822,2590.81789173096,0.00264575538797692,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V3","VP",-639.153085833344,-15339.6740600003,3661.96374951442,0.00755834465505286,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V3","VP",6503.24472777778,117058.4051,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V3","VP",10182.6627377778,152739.941066667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V3","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V3","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V4","VP",2921495.09794131,70115882.3505913,571809.097208634,0.867127595050015,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V4","VP",-120437.930805556,-2890510.33933333,135160.036885891,0.165626708156031,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V4","VP",4289045.56462963,77202820.1633333,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V4","VP",275890.258577778,4138353.87866667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V4","VP",4289045.56462963,77202820.1633333,782774.739473655,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V4","VP",1334679.534,4004038.60199999,1230169.85597945,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V5","VP",-21928.6179577311,-526286.830985546,20489.0507043403,0.222615234788414,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V5","VP",-13539.1209444445,-324938.902666667,19116.2286504076,0.111431374125557,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V5","VP",32394.8053888889,583106.497,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V5","VP",42285.2874,634279.311,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V5","VP",105023.459888889,315070.379666667,77681.7967968087,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V5","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_Viruses","VPC",872611.505969119,20942676.1432589,389370.280162744,0.556661807829862,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VPC",-318210.731972222,-7637057.56733333,123696.847470019,0.623273445747433,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","VPC",3361265.10162393,35537739.86,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VPC",993176.973333334,2979530.92,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","VPC",5795857.44666666,20285501.0633333,4049350.09795694,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_Viruses","VPC",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V1","VPC",841995.614255365,20207894.7421288,377092.853186436,0.554846503307272,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V1","VPC",-296344.482055556,-7112267.56933334,108539.582842867,0.650791676282066,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V1","VPC",3313680.79440171,34567675.7366667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V1","VPC",938881.709,2816645.127,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V1","VPC",5759778.65809524,20159225.3033333,4025698.66015023,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V1","VPC",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V2","VPC",32442.3498802015,778616.397124836,21637.2265192007,0.359808456243692,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V2","VPC",-18348.1146333334,-440354.751200001,13287.147510932,0.322821547955717,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V2","VPC",193296.161692308,1256425.051,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V2","VPC",17929.7766444444,268946.649666667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V2","VPC",403082.051888889,1209246.15566667,77681.7967968087,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V2","VPC",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V3","VPC",-1826.45791388524,-43834.9899332458,1408.77463578039,0.29588353558419,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V3","VPC",-3518.13541444445,-84435.2499466668,4781.85425979566,0.119193591590832,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V3","VPC",13076.8024031746,89760.3669666667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V3","VPC",4467.30436333333,124966.999033333,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V3","VPC",22599.1050952381,79096.8678333333,19591.4145641533,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V3","VPC",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V4","VPC",841995.614255365,20207894.7421288,377092.853186436,0.554846503307272,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V4","VPC",-296344.482055556,-7112267.56933334,108539.582842867,0.650791676282066,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V4","VPC",3313680.79440171,34567675.7366667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V4","VPC",938881.709,2816645.127,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V4","VPC",5759778.65809524,20159225.3033333,4025698.66015023,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V4","VPC",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V5","VPC",32442.3498802015,778616.397124836,21637.2265192007,0.359808456243692,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V5","VPC",-18348.1146333334,-440354.751200001,13287.147510932,0.322821547955717,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V5","VPC",193296.161692308,1256425.051,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V5","VPC",17929.7766444444,268946.649666667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V5","VPC",403082.051888889,1209246.15566667,77681.7967968087,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V5","VPC",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_Viruses","Diff",-2027221.85482479,-48653324.515795,394865.092854351,0.868237070462901,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","Diff",-183594.527361111,-4406268.65666667,64654.2442047879,0.668422186392961,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","Diff",1817519.545,10905117.27,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","Diff",452736.317777777,2716417.90666666,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_Viruses","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V1","Diff",-2079499.48368594,-49907987.6084626,387438.932023517,0.878078026285065,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V1","Diff",-175906.55125,-4221757.23,59412.2207448033,0.686673155614456,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V1","Diff",1652516.77222222,9915100.63333334,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V1","Diff",404868.579722221,2429211.47833333,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V1","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V1","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V2","Diff",54370.9678379326,1304903.22811038,14686.075797463,0.774092659188384,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V2","Diff",-4808.99368888889,-115415.848533333,7331.95914550636,0.0971058086621531,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V2","Diff",220319.555888889,1749658.89466667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V2","Diff",51867.4145000001,311204.487000001,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V2","Diff",243527.797111111,1461166.78266667,109858.650579558,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V2","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V3","Diff",-2093.33851531976,-50240.1243676742,3019.73122427388,0.107253288434959,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V3","Diff",-2878.98232861111,-69095.5758866667,2906.23265996939,0.197002392413145,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V3","Diff",17585.4865234127,179154.041066667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V3","Diff",13105.9990490741,160429.869566667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V3","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V3","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V4","Diff",-2079499.48368594,-49907987.6084626,387438.932023517,0.878078026285065,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V4","Diff",-175906.55125,-4221757.23,59412.2207448033,0.686673155614456,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V4","Diff",1652516.77222222,9915100.63333334,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V4","Diff",404868.579722221,2429211.47833333,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_V4","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V4","Diff",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T24","c_V5","Diff",54370.9678379326,1304903.22811038,14686.075797463,0.774092659188384,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V5","Diff",-4808.99368888889,-115415.848533333,7331.95914550636,0.0971058086621531,"LM_AR_DIFF"
