"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_10","Rate_BS_10","P_BP_Lysed_BS_10","P_B_Loss_BS_10","P_Cells_BS_25","Rate_BS_25","P_BP_Lysed_BS_25","P_B_Loss_BS_25","P_Cells_BS_40","Rate_BS_40","P_BP_Lysed_BS_40","P_B_Loss_BS_40","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_10","Total_DOC_BS_10","DON_B_BS_10","Total_DON_BS_10","DOP_B_BS_10","Total_DOP_BS_10","DOC_B_BS_25","Total_DOC_BS_25","DON_B_BS_25","Total_DON_BS_25","DOP_B_BS_25","Total_DOP_BS_25","DOC_B_BS_40","Total_DOC_BS_40","DON_B_BS_40","Total_DON_BS_40","DOP_B_BS_40","Total_DOP_BS_40"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333332,-2594456.29,NA,1,"LM_AR_DIFF",856929.637533333,3231054.366,204686985.2,-3260800.32557888,-9782400.97673665,NA,-30.2761881065069,-326080.032557888,-120.770382428847,-242.209504852055,-12.1104752426028,-130432.013023155,-48.3081529715389,-96.883801940822,-7.56904702662673,-81520.008139472,-30.1925956072118,-60.5523762130138,-0.0159306676112931,-2.87104752111435e-11,-1.13285837872162e-11,-4.11082617787919e-12,-6.19552061859987e-09,-6.22423109381101e-09,-1.63040016278944e-09,-1.64172874657666e-09,-2.6086402604631e-10,-2.64974852224189e-10,-2.47820824743995e-09,-2.50691872265109e-09,-6.52160065115776e-10,-6.63488648902992e-10,-1.04345610418524e-10,-1.08456436596403e-10,-1.54888015464997e-09,-1.57759062986111e-09,-4.0760004069736e-10,-4.18928624484576e-10,-6.52160065115776e-11,-6.93268326894568e-11
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222226,-4804904.05333336,36951.2377070214,0.997875447936815,"LM_AR_DIFF",856929.637533333,3231054.366,204686985.2,-3019482.88006901,-18116897.2804141,139324.692125299,-56.0711620053689,-301948.288006901,-111.832699261815,-224.284648021476,-22.4284648021476,-120779.31520276,-44.733079704726,-89.7138592085902,-14.0177905013422,-75487.0720017252,-27.9581748154538,-56.0711620053689,-0.0147517091871702,-2.65857396108127e-11,-1.04902052826108e-11,-3.80660206933774e-12,-5.73701747213111e-09,-5.76360321174193e-09,-1.5097414400345e-09,-1.52023164531711e-09,-2.41558630405521e-10,-2.45365232474858e-10,-2.29480698885245e-09,-2.32139272846326e-09,-6.03896576013801e-10,-6.14386781296412e-10,-9.66234521622082e-11,-1.00430054231546e-10,-1.43425436803278e-09,-1.46084010764359e-09,-3.77435360008626e-10,-3.87925565291237e-10,-6.03896576013801e-11,-6.41962596707179e-11
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,562040.59383704,0.79210603065708,"LM_AR_DIFF",856929.637533333,3231054.366,204686985.2,5849954.63293337,102374206.076334,2119174.8249176,316.844579136783,584995.463293337,216.664986404939,434.529708530447,126.737831654713,233998.185317335,86.6659945619758,173.811883412179,79.2111447841958,146248.865823334,54.1662466012349,108.632427132612,0.0285800029113593,5.1507286771793e-11,2.03237532487777e-11,7.37492156628724e-12,1.11149138025734e-08,1.11664210893452e-08,2.92497731646668e-09,2.94530106971546e-09,4.67996370634669e-10,4.75371292200956e-10,4.44596552102936e-09,4.49747280780115e-09,1.16999092658667e-09,1.19031467983545e-09,1.87198548253868e-10,1.94573469820155e-10,2.77872845064335e-09,2.83023573741514e-09,7.31244329116671e-10,7.51568082365448e-10,1.16999092658667e-10,1.24374014224955e-10
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,532753.407928739,0.853055015979073,"LM_AR_DIFF",856929.637533333,3231054.366,204686985.2,8382954.39338957,171850565.064486,2008747.45054266,531.871474750934,838295.439338957,310.479792347762,622.67879970841,212.748589900373,335318.175735583,124.191916939105,249.071519883364,132.967868687733,209573.859834739,77.6199480869404,155.669699927102,0.0409549946968957,7.38096725578652e-11,2.91238321110836e-11,1.05682240332197e-11,1.59276133474402e-08,1.6001423019998e-08,4.19147719669478e-09,4.22060102880587e-09,6.70636351471165e-10,6.81204575504385e-10,6.37104533897607e-09,6.44485501153394e-09,1.67659087867791e-09,1.705714710789e-09,2.68254540588466e-10,2.78822764621686e-10,3.98190333686004e-09,4.05571300941791e-09,1.0478692991737e-09,1.07699313128478e-09,1.67659087867791e-10,1.78227311901011e-10
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,592213.7898153,0.857023779781683,"LM_AR_DIFF",856929.637533333,3231054.366,204686985.2,10933825.6382819,262411815.318767,2232942.90146862,812.155369714899,1093382.56382819,404.956505121554,812.155369714899,324.86214788596,437353.025531278,161.982602048621,324.862147885959,203.038842428725,273345.640957049,101.239126280388,203.038842428725,0.0534172977710258,9.6269411987111e-11,3.79859995984576e-11,1.37840567254718e-11,2.07742687127357e-08,2.08705381247228e-08,5.46691281914097e-09,5.50489881873943e-09,8.74706051062556e-10,8.88490107788028e-10,8.30970748509428e-09,8.40597689708139e-09,2.18676512765639e-09,2.22475112725485e-09,3.49882420425022e-10,3.63666477150494e-10,5.19356717818393e-09,5.28983659017104e-09,1.36672820478524e-09,1.4047142043837e-09,2.18676512765639e-10,2.32460569491111e-10
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-170717.838888886,-512153.516666659,NA,1,"LM_AR_DIFF",1258635.39433333,4702883.031,153088962.1,-637886.103643853,-1913658.31093156,NA,-4.06911738675467,-63788.6103643853,-23.6254112460686,-32.5529390940373,-1.62764695470187,-25515.4441457541,-9.45016449842745,-13.0211756376149,-1.01727934668867,-15947.1525910963,-5.90635281151715,-8.13823477350933,-0.00416676744615445,-5.66753462034932e-12,-2.23629669454777e-12,-8.11489517677011e-13,-1.21198359692332e-09,-1.21765113154367e-09,-3.18943051821926e-10,-3.21179348516474e-10,-5.10308882915082e-11,-5.18423778091852e-11,-4.84793438769328e-10,-4.90460973389677e-10,-1.27577220728771e-10,-1.29813517423318e-10,-2.04123553166033e-11,-2.12238448342803e-11,-3.0299589923083e-10,-3.08663433851179e-10,-7.97357629554816e-11,-8.19720596500294e-11,-1.27577220728771e-11,-1.35692115905541e-11
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-417555.081111112,-2505330.48666667,142511.548243024,0.895667548929028,"LM_AR_DIFF",1258635.39433333,4702883.031,153088962.1,-1560191.86676806,-9361151.20060836,532493.480614893,-19.905132955471,-156019.186676806,-57.7848839543726,-79.6205318218842,-7.96205318218841,-62407.6746707224,-23.1139535817491,-31.8482127287537,-4.97628323886776,-39004.7966692015,-14.4462209885932,-19.905132955471,-0.0101914066524856,-1.38621007242264e-11,-5.46970986604492e-12,-1.98480471390562e-12,-2.96436454685932e-09,-2.97822664758354e-09,-7.80095933384031e-10,-7.85565643250075e-10,-1.24815349341445e-10,-1.2680015405535e-10,-1.18574581874373e-09,-1.19960791946795e-09,-3.12038373353612e-10,-3.17508083219657e-10,-4.9926139736578e-11,-5.19109444504836e-11,-7.41091136714829e-10,-7.54953237439055e-10,-1.95023983346008e-10,-2.00493693212053e-10,-3.12038373353612e-11,-3.31886420492668e-11
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-881236.673333333,-7931130.05999999,275188.628517065,0.836797686965234,"LM_AR_DIFF",1258635.39433333,4702883.031,153088962.1,-3292735.14472345,-29634616.302511,1028240.5351095,-63.0137218110008,-329273.514472345,-121.953153508276,-168.036591496002,-25.2054887244003,-131709.405788938,-48.7812614033103,-67.2146365984009,-15.7534304527502,-82318.3786180862,-30.488288377069,-42.0091478740005,-0.0215086385037517,-2.9255521200036e-11,-1.15436481185324e-11,-4.18886700802253e-12,-6.25619677497455e-09,-6.28545229617459e-09,-1.64636757236172e-09,-1.65791122048026e-09,-2.63418811577876e-10,-2.67607678585898e-10,-2.50247870998982e-09,-2.53173423118986e-09,-6.5854702894469e-10,-6.70090677063222e-10,-1.0536752463115e-10,-1.09556391639173e-10,-1.56404919374364e-09,-1.59330471494367e-09,-4.11591893090431e-10,-4.23135541208963e-10,-6.5854702894469e-11,-7.00435699024915e-11
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-492565.742444444,-5910788.90933333,274950.828199722,0.516858367056788,"LM_AR_DIFF",1258635.39433333,4702883.031,153088962.1,-1840468.71891829,-22085624.6270195,1027351.99575789,-46.9618837666974,-184046.871891829,-68.165508108085,-93.9237675333947,-18.7847535066789,-73618.7487567318,-27.266203243234,-37.5695070133579,-11.7404709416743,-46011.7179729574,-17.0413770270212,-23.4809418833487,-0.0120222169754869,-1.63523239063431e-11,-6.45230251768194e-12,-2.34136010250586e-12,-3.49689056594476e-09,-3.5132428898511e-09,-9.20234359459147e-10,-9.26686661976829e-10,-1.47237497513464e-10,-1.49578857615969e-10,-1.3987562263779e-09,-1.41510855028425e-09,-3.68093743783659e-10,-3.74546046301341e-10,-5.88949990053854e-11,-6.12363591078913e-11,-8.7422264148619e-10,-8.90574965392533e-10,-2.30058589864787e-10,-2.36510892382469e-10,-3.68093743783659e-11,-3.91507344808717e-11
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR_DIFF",1258635.39433333,4702883.031,153088962.1,-502992.580070058,-12071821.9216814,589039.451081218,-25.6689818609299,-50299.2580070058,-18.6293548174095,-25.6689818609299,-10.267592744372,-20119.7032028023,-7.45174192696382,-10.2675927443719,-6.41724546523248,-12574.8145017514,-4.65733870435239,-6.41724546523247,-0.00328562277234263,-4.46902330218736e-12,-1.76338791167765e-12,-6.3988414838405e-13,-9.5568590213311e-10,-9.60154925435297e-10,-2.51496290035029e-10,-2.53259677946707e-10,-4.02394064056046e-11,-4.08792905539887e-11,-3.82274360853244e-10,-3.86743384155431e-10,-1.00598516014012e-10,-1.02361903925689e-10,-1.60957625622418e-11,-1.67356467106259e-11,-2.38921475533277e-10,-2.43390498835465e-10,-6.28740725087572e-11,-6.46374604204349e-11,-1.00598516014012e-11,-1.06997357497852e-11
