"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222226,-4804904.05333336,36951.2377070214,0.997875447936815,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",328358.208888889,4925373.13333333,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",1525799.57333334,4577398.72000001,1396801.36604058,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T6","c_V1","VP",-575052.579444447,-3450315.47666668,84593.687003068,0.9788182014686,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V1","VP",0,0,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V1","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V1","VP",-120437.930805556,-2890510.33933333,135160.036885891,0.165626708156031,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V1","VP",275890.258577778,4138353.87866667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V1","VP",1334679.534,4004038.60199999,1230169.85597945,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T6","c_V2","VP",-203962.993777778,-1223777.96266667,48000.8680865598,0.94752114649907,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V2","VP",0,0,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V2","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V2","VP",-13539.1209444445,-324938.902666667,19116.2286504076,0.111431374125557,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V2","VP",42285.2874,634279.311,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V2","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T6","c_V3","VP",-21801.7693666667,-130810.6162,358.419258808047,0.999729802185836,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V3","VP",0,0,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V3","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V3","VP",-639.153085833344,-15339.6740600003,3661.96374951442,0.00755834465505286,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V3","VP",10182.6627377778,152739.941066667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V3","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T6","c_V4","VP",-575052.579444447,-3450315.47666668,84593.687003068,0.9788182014686,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V4","VP",0,0,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V4","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V4","VP",-120437.930805556,-2890510.33933333,135160.036885891,0.165626708156031,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V4","VP",275890.258577778,4138353.87866667,NA,NA,"VPCL_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V4","VP",1334679.534,4004038.60199999,1230169.85597945,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T6","c_V5","VP",-203962.993777778,-1223777.96266667,48000.8680865598,0.94752114649907,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V5","VP",0,0,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_V5","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",6,1,"T0_T24","c_V5","VP",-13539.1209444445,-324938.902666667,19116.2286504076,0.111431374125557,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_V5","VP",42285.2874,634279.311,NA,NA,"VPCL_AR_DIFF"
