"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-83184.0796019904,62702.1852074162,0.305556733316512,"LM_AP"
"NJ2020","2","1","T0_T3","c_Viruses","VP",-864818.76332623,50570.7707349585,0.986506982214812,"LM_AP"
"NJ2020","3","1","T0_T3","c_Viruses","VP",509282.160625444,450029.513074559,0.242519388944424,"LM_AP"
"NJ2020","4","1","T0_T3","c_Viruses","VP",427434.257285003,119650.300611777,0.761361781041384,"LM_AP"
"NJ2020","5","1","T0_T3","c_Viruses","VP",198436.389481164,221841.778673726,0.166687764766903,"LM_AP"
"NJ2020","6","1","T0_T3","c_Viruses","VP",-169154.228855722,395395.923947924,0.0437533469255742,"LM_AP"
"NJ2020","7","1","T0_T3","c_Viruses","VP",132139.303482587,216285.905569556,0.0853498220461735,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-673773.987206823,135894.037326081,0.778358915152762,"LM_AP"
"NJ2020","2","1","T0_T6","c_Viruses","VP",-801314.85429993,70878.7780437242,0.9480761011222,"LM_AP"
"NJ2020","3","1","T0_T6","c_Viruses","VP",-167320.540156361,273380.482031499,0.0507955016463813,"LM_AP"
"NJ2020","4","1","T0_T6","c_Viruses","VP",3071428.57142857,578789.806539519,0.800912490198165,"LM_AP"
"NJ2020","5","1","T0_T6","c_Viruses","VP",206929.637526653,356405.137389171,0.0459444548714258,"LM_AP"
"NJ2020","6","1","T0_T6","c_Viruses","VP",-483653.16275764,291942.012325458,0.281651476909286,"LM_AP"
"NJ2020","7","1","T0_T6","c_Viruses","VP",20810.2345415777,138564.3705523,0.00321185276515357,"LM_AP"
"NJ2020","1","1","T0_T9","c_Viruses","VP",-353285.00355366,109861.180202584,0.50838170951982,"LM_AP"
"NJ2020","2","1","T0_T9","c_Viruses","VP",2317711.44278607,886638.713891052,0.405936564432963,"LM_AP"
"NJ2020","3","1","T0_T9","c_Viruses","VP",-200562.89978678,147209.070878429,0.15656165341271,"LM_AP"
"NJ2020","4","1","T0_T9","c_Viruses","VP",2418322.67235252,377704.211662814,0.803900146989966,"LM_AP"
"NJ2020","5","1","T0_T9","c_Viruses","VP",-65643.212508885,203646.016667188,0.010283445455363,"LM_AP"
"NJ2020","6","1","T0_T9","c_Viruses","VP",-934058.28002843,377585.074768112,0.379634649569837,"LM_AP"
"NJ2020","7","1","T0_T9","c_Viruses","VP",-149341.862117982,86139.6278039818,0.23111107101677,"LM_AP"
"NJ2020","1","1","T0_T24","c_Viruses","VP",95185.501066098,57821.5366536054,0.14484034857812,"LM_AP"
"NJ2020","2","1","T0_T24","c_Viruses","VP",3508025.94171997,517438.895636323,0.741780981082512,"LM_AP"
"NJ2020","3","1","T0_T24","c_Viruses","VP",193996.090973703,103499.628359634,0.180044098485444,"LM_AP"
"NJ2020","4","1","T0_T24","c_Viruses","VP",890262.970859985,189070.986002625,0.580834491573031,"LM_AP"
"NJ2020","5","1","T0_T24","c_Viruses","VP",31810.5899076047,64479.1593589922,0.0149840085041439,"LM_AP"
"NJ2020","6","1","T0_T24","c_Viruses","VP",-131289.978678039,130484.828839703,0.0595083716394099,"LM_AP"
"NJ2020","7","1","T0_T24","c_Viruses","VP",-47793.1769722815,26429.6185209205,0.169694557476328,"LM_AP"
"NJ2020","1","1","T0_T12","c_Viruses","VP",-28952.380952381,114065.773304127,0.00493136960306748,"LM_AP"
"NJ2020","2","1","T0_T12","c_Viruses","VP",3923759.77256574,883498.633916859,0.602736983203232,"LM_AP"
"NJ2020","3","1","T0_T12","c_Viruses","VP",-418197.583511016,111450.342186703,0.519939519609377,"LM_AP"
"NJ2020","4","1","T0_T12","c_Viruses","VP",1796275.76403696,293095.457391453,0.742880741707959,"LM_AP"
"NJ2020","5","1","T0_T12","c_Viruses","VP",84996.4463397305,136387.599793853,0.0290084070712479,"LM_AP"
"NJ2020","6","1","T0_T12","c_Viruses","VP",-505643.212508884,263424.371321852,0.220832875277353,"LM_AP"
"NJ2020","7","1","T0_T12","c_Viruses","VP",-67965.8848614073,58258.8440865039,0.0947705786281858,"LM_AP"
"NJ2020","1","1","T0_T3","c_V1","VP",-88124.1721314725,65181.8307038472,0.313638771409394,"LM_AP"
"NJ2020","2","1","T0_T3","c_V1","VP",-636165.670126664,34977.06096926,0.988052795103024,"LM_AP"
"NJ2020","3","1","T0_T3","c_V1","VP",903422.46923493,379785.920671155,0.58585854459794,"LM_AP"
"NJ2020","4","1","T0_T3","c_V1","VP",512659.284297634,117528.35487241,0.82629154401905,"LM_AP"
"NJ2020","5","1","T0_T3","c_V1","VP",215577.833609809,190751.828266624,0.242027302056089,"LM_AP"
"NJ2020","6","1","T0_T3","c_V1","VP",-96746.3629474951,353557.543947986,0.0183753052354844,"LM_AP"
"NJ2020","7","1","T0_T3","c_V1","VP",120821.296630605,198492.157452593,0.0847750651832152,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","VP",-503186.585355786,98207.1423986855,0.789490007050442,"LM_AP"
"NJ2020","2","1","T0_T6","c_V1","VP",-452347.036390242,72792.9463155633,0.846544359092412,"LM_AP"
"NJ2020","3","1","T0_T6","c_V1","VP",87694.2293244572,279546.077019572,0.0138635420076504,"LM_AP"
"NJ2020","4","1","T0_T6","c_V1","VP",2396568.42061963,413869.40407675,0.827294833131898,"LM_AP"
"NJ2020","5","1","T0_T6","c_V1","VP",323361.724337049,338059.476060966,0.115596199584464,"LM_AP"
"NJ2020","6","1","T0_T6","c_V1","VP",-379395.375223917,330854.16151117,0.158143360557402,"LM_AP"
"NJ2020","7","1","T0_T6","c_V1","VP",12873.3971297679,128425.292000994,0.00143338947246362,"LM_AP"
"NJ2020","1","1","T0_T9","c_V1","VP",-252766.499576221,83479.0741144102,0.478302434469203,"LM_AP"
"NJ2020","2","1","T0_T9","c_V1","VP",2523210.77349567,847455.273711843,0.469914824575986,"LM_AP"
"NJ2020","3","1","T0_T9","c_V1","VP",-52705.75179513,153985.244590949,0.0115797568934173,"LM_AP"
