"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T3","c_Viruses","VP","1",-111385.92750533,NA,1,"LM_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VP","2",30191.8976545849,NA,1,"LM_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VP","3",-168358.208955223,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_Viruses","VP","1",-804264.392324095,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_Viruses","VP","2",-990618.336886995,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_Viruses","VP","3",-799573.560767591,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_Viruses","VP","1",744562.899786781,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_Viruses","VP","2",601279.317697228,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_Viruses","VP","3",182004.264392323,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_Viruses","VP","1",128784.648187634,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_Viruses","VP","2",680170.575692964,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_Viruses","VP","3",473347.547974414,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_Viruses","VP","1",335607.675906185,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_Viruses","VP","2",477611.940298509,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_Viruses","VP","3",-217910.447761194,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_Viruses","VP","1",208102.345415781,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_Viruses","VP","2",242643.923240938,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_Viruses","VP","3",-958208.955223879,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_Viruses","VP","1",399658.848614072,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_Viruses","VP","2",239147.121535182,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_Viruses","VP","3",-242388.059701492,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","1",-655863.53944563,314354.295821456,0.813188694826102,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","2",-594456.289978679,360640.799278875,0.730966059628673,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","3",-771002.132196162,347936.631308648,0.83080476458085,"LM_SR"
"NJ2020","2","1","T0_T6","c_Viruses","VP","1",-593710.021321964,121563.622777135,0.959763273898012,"LM_SR"
"NJ2020","2","1","T0_T6","c_Viruses","VP","2",-911833.688699361,45486.3378391412,0.997517716983055,"LM_SR"
"NJ2020","2","1","T0_T6","c_Viruses","VP","3",-898400.852878468,57057.9637034933,0.995982610118163,"LM_SR"
"NJ2020","3","1","T0_T6","c_Viruses","VP","1",162857.142857142,335847.975352481,0.190375762096388,"LM_SR"
"NJ2020","3","1","T0_T6","c_Viruses","VP","2",134285.714285714,269618.88263947,0.198757305626071,"LM_SR"
"NJ2020","3","1","T0_T6","c_Viruses","VP","3",-799104.477611942,566443.396300456,0.665572861273754,"LM_SR"
"NJ2020","4","1","T0_T6","c_Viruses","VP","1",3025586.35394456,1672469.24460773,0.765954561287402,"LM_SR"
"NJ2020","4","1","T0_T6","c_Viruses","VP","2",3107036.24733476,1401151.54880945,0.831002618703035,"LM_SR"
"NJ2020","4","1","T0_T6","c_Viruses","VP","3",3081663.1130064,1505911.69360271,0.807234823547849,"LM_SR"
"NJ2020","5","1","T0_T6","c_Viruses","VP","1",1203304.90405117,500965.228244603,0.852278031507569,"LM_SR"
"NJ2020","5","1","T0_T6","c_Viruses","VP","2",79424.3070362457,229893.737251945,0.106630996522641,"LM_SR"
"NJ2020","5","1","T0_T6","c_Viruses","VP","3",-661940.298507465,256360.753856587,0.869571960983403,"LM_SR"
"NJ2020","6","1","T0_T6","c_Viruses","VP","1",-878678.038379531,627452.947134227,0.662286363967491,"LM_SR"
