ID,time,group,y
1,0,1,9.34E+06
1,3,1,9.00E+06
1,6,1,8.44E+06
1,17,1,1.01E+07
1,20,1,9.40E+06
1,24,1,1.26E+07
2,0,1,8.83E+06
2,3,1,8.92E+06
2,6,1,8.32E+06
2,17,1,9.80E+06
2,20,1,1.07E+07
2,24,1,9.85E+06
3,0,1,9.11E+06
3,3,1,8.61E+06
3,6,1,7.52E+06
3,17,1,9.74E+06
3,20,1,9.61E+06
3,24,1,8.73E+06
4,0,0,7.52E+06
4,3,0,7.89E+06
4,6,0,7.66E+06
4,17,0,8.08E+06
4,20,0,8.37E+06
4,24,0,8.42E+06
5,0,0,7.94E+06
5,3,0,7.50E+06
5,6,0,9.20E+06
5,17,0,9.01E+06
5,20,0,8.75E+06
5,24,0,8.50E+06
6,0,0,7.92E+06
6,3,0,7.62E+06
6,6,0,7.63E+06
6,17,0,8.34E+06
6,20,0,8.92E+06
6,24,0,8.44E+06
