"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Expt_No","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201102.021","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",0,1,33262.2601279318,12095.3673192479,21166.8928086839,167846481.876333,139607157.427415,23902141.2727252,4337183.17619202,5046.15384615385,0.571428571428571
"vi201102.036","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",0,1,1528784.64818763,924134.92599259,604649.722195043,9218507.46268657,7347689.79153366,1275850.96819533,594966.702957575,6.02995815899582,1.52838063439065
"vi201102.079","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",0,1,1434115.13859275,867115.60607961,566999.532513141,7540810.23454158,5760696.03858608,1175887.42412259,604226.771832911,5.25816235504014,1.52930568079351
"vi201102.022","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",0,2,2558.63539445629,319.829424307036,2238.80597014925,148615778.251599,123805640.084685,21219394.525744,3590743.64116998,58084,0.142857142857143
"vi201102.037","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",0,2,1459701.49253731,877636.695582213,582064.7969551,8725202.5586354,6827751.13279736,1253894.60568183,643556.820156196,5.97738825591586,1.50779896013865
"vi201102.080","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",0,2,1395735.60767591,830283.746104642,565451.861571265,7965031.98294243,6115218.50982582,1201275.28961884,648538.183497768,5.70669110907424,1.46835443037975
"vi201102.023","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",0,3,2558.63539445629,1119.40298507463,1439.23240938166,162381236.673774,133710102.775316,24146486.2384953,4524647.65996291,63464,0.777777777777778
"vi201102.038","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",0,3,1533901.91897655,913072.909321675,620829.00965487,9012281.44989339,7036517.78162831,1245212.52039113,730551.147873951,5.87539616346956,1.47073170731707
"vi201102.081","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",0,3,1431556.50319829,871715.656411818,559840.846786476,7965031.98294243,6122742.15464598,1205287.90018959,637001.928106857,5.5638963360143,1.55707762557078
"vi201102.039","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",3,1,1601449.89339019,998949.19240801,602500.700982182,8889466.95095949,7044005.87290997,1177721.66647569,667739.411573831,5.55088672311871,1.6580050293378
"vi201102.082","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",3,1,1419786.7803838,845634.618204825,574152.162178971,7945586.35394456,6246328.26991703,1085860.02122775,613398.062799785,5.59632366192107,1.47284060552093
"vi201102.040","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",3,2,1614243.07036247,971778.369016708,642464.701345765,8836759.06183369,6782321.70024213,1334243.48205729,720193.879534268,5.4742431447139,1.5125786163522
"vi201102.083","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",3,2,1357867.80383795,775048.038636422,582819.765201531,7545415.7782516,5722190.81031949,1210974.09933825,612250.868593855,5.5568117580554,1.32982456140351
"vi201102.041","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",3,3,1601449.89339019,964607.157481951,636842.735908241,8511300.63965885,6591056.09487901,1197923.454406,722321.090373842,5.31474676465889,1.5146708961142
"vi201102.084","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",3,3,1392153.51812367,833860.590547081,558292.927576586,7670277.18550107,5963209.48465053,1109644.12498036,597423.575870182,5.50964896158794,1.49358974358974
"vi201102.049","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",6,1,1445884.86140725,911305.875327136,534578.986080113,8335778.25159915,6659909.07171775,1109984.84528629,565884.334595107,5.76517430543267,1.70471698113208
"vi201102.091","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",6,1,1454584.2217484,859271.760337858,595312.461410542,7668486.14072495,6074270.53401375,1069290.95572093,524924.650990273,5.27194371152155,1.44339622641509
"vi201102.050","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",6,2,1510874.20042644,957290.700804594,553583.499621845,8228827.29211087,6491806.37586664,1116939.09058782,620081.825656418,5.44640135478408,1.72926162260711
"vi201102.092","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",6,2,1598891.25799574,944219.07889943,654672.179096306,9191385.92750533,7094674.54538254,1359257.73697788,737453.645144907,5.74859977596415,1.44227769110764
"vi201102.051","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",6,3,1341492.53731343,866957.813261892,474534.724051541,7429509.59488273,5860367.18608697,1021767.14991351,547375.25888224,5.53824146481022,1.82696390658174
"vi201102.093","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",6,3,1367590.61833689,806567.068671998,561023.549664889,7620895.52238806,5852987.31977783,1049679.91956503,718228.283045206,5.57249766136576,1.43767060964513
