"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-79829.4243070389,NA,1,"LM_AR_Diff_LMER"
"NJ2020","2","1","T0_T3","c_Viruses","VP",-864818.763326213,NA,1,"LM_AR_Diff_LMER"
"NJ2020","3","1","T0_T3","c_Viruses","VP",517242.359630403,NA,1,"LM_AR_Diff_LMER"
"NJ2020","4","1","T0_T3","c_Viruses","VP",423312.01137172,NA,1,"LM_AR_Diff_LMER"
"NJ2020","5","1","T0_T3","c_Viruses","VP",197725.657427127,NA,1,"LM_AR_Diff_LMER"
"NJ2020","6","1","T0_T3","c_Viruses","VP",-170717.839374545,NA,1,"LM_AR_Diff_LMER"
"NJ2020","7","1","T0_T3","c_Viruses","VP",133702.914001422,NA,1,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685145701,48912.6880507485,0.918813881820571,"LM_AR_Diff_LMER"
"NJ2020","2","1","T0_T6","c_Viruses","VP",-800817.341862114,36951.2379108174,0.997875447911524,"LM_AR_Diff_LMER"
"NJ2020","3","1","T0_T6","c_Viruses","VP",-138606.965174134,378654.784223731,0.118160605718264,"LM_AR_Diff_LMER"
"NJ2020","4","1","T0_T6","c_Viruses","VP",3072992.18194741,1529793.55974829,0.801395294516566,"LM_AR_Diff_LMER"
"NJ2020","5","1","T0_T6","c_Viruses","VP",205792.466240212,4657.37423974605,0.99948808135287,"LM_AR_Diff_LMER"
"NJ2020","6","1","T0_T6","c_Viruses","VP",-417555.081734191,142511.548322354,0.895667549103877,"LM_AR_Diff_LMER"
"NJ2020","7","1","T0_T6","c_Viruses","VP",21122.9566453442,64998.0686848877,0.0955226189423556,"LM_AR_Diff_LMER"
"NJ2020","3","1","T0_T9","c_Viruses","VP",-178968.017057573,170935.3502336,0.354045465097113,"LM_AR_Diff_LMER"
"NJ2020","4","1","T0_T9","c_Viruses","VP",2420796.01990051,780922.70958935,0.82772712721088,"LM_AR_Diff_LMER"
"NJ2020","5","1","T0_T9","c_Viruses","VP",-65415.7782516072,156596.005229189,0.0802497326465315,"LM_AR_Diff_LMER"
"NJ2020","6","1","T0_T9","c_Viruses","VP",-881236.673773989,275188.628422822,0.836797687195353,"LM_AR_Diff_LMER"
"NJ2020","7","1","T0_T9","c_Viruses","VP",-149410.092395168,102658.609274807,0.514352167704,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T24","c_Viruses","VP",68321.9039935459,23842.6763259647,0.672433531909352,"LM_AR_Diff_LMER"
"NJ2020","2","1","T0_T24","c_Viruses","VP",2899833.36088471,592213.78973239,0.857023779823666,"LM_AR_Diff_LMER"
"NJ2020","3","1","T0_T24","c_Viruses","VP",361534.47050462,202345.570780878,0.443854401618646,"LM_AR_Diff_LMER"
"NJ2020","4","1","T0_T24","c_Viruses","VP",891115.849324809,361830.912515235,0.602597653951922,"LM_AR_Diff_LMER"
"NJ2020","5","1","T0_T24","c_Viruses","VP",31821.2508884126,56369.7881210961,0.0737890014112487,"LM_AR_Diff_LMER"
"NJ2020","6","1","T0_T24","c_Viruses","VP",-134616.204690833,157644.980142443,0.15418729966951,"LM_AR_Diff_LMER"
