"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422885,136624.36158298,0.777962116671153,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","VP",-516595.629728869,100139.520213739,0.791745953272385,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","VP",-103574.989834223,22597.3388346394,0.750075938167149,"LM_AP"
"NJ2020","1","1","T0_T6","c_V3","VP",-56446.2958597935,16664.8766442213,0.621063002514159,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",100597.014925373,74255.3336781693,0.207726524940786,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","VPC",90616.1882670545,55809.9848731601,0.273576878054892,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","VPC",2997.3357247789,14943.7555541743,0.00571431813972482,"LM_AP"
"NJ2020","1","1","T0_T6","c_V3","VPC",6983.49093354016,9768.03937567393,0.0680495308412019,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",777213.930348258,148510.667356339,NA,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","Diff",607211.817995924,111619.96974632,NA,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","Diff",106572.325559002,29887.5111083486,NA,"LM_AP"
"NJ2020","1","1","T0_T6","c_V3","Diff",63429.7867933337,19536.0787513479,NA,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422885,343143.844425822,0.795419979137091,"LM_AR"
"NJ2020","1","1","T0_T6","c_V1","VP",-516595.62972887,245152.756377079,0.816191989752507,"LM_AR"
"NJ2020","1","1","T0_T6","c_V2","VP",-103574.989834223,56548.7412495647,0.770367221269647,"LM_AR"
"NJ2020","1","1","T0_T6","c_V3","VP",-56446.2958597936,41442.3467991788,0.649757372762128,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",100597.014925373,79877.0457714659,0.613314966295877,"LM_AR"
"NJ2020","1","1","T0_T6","c_V1","VPC",90616.1882670544,56113.3765796871,0.722824845584002,"LM_AR"
"NJ2020","1","1","T0_T6","c_V2","VPC",2997.33572477872,11779.0811348522,0.0608134731458682,"LM_AR"
"NJ2020","1","1","T0_T6","c_V3","VPC",6983.49093354013,11984.5880569272,0.253478551153705,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",777213.930348258,159754.091542932,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_V1","Diff",607211.817995924,112226.753159374,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_V2","Diff",106572.325559002,23558.1622697044,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_V3","Diff",63429.7867933337,23969.1761138544,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422885,343143.844425822,0.795419979137091,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V1","VP",-516595.62972887,245152.756377079,0.816191989752507,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V2","VP",-103574.989834223,56548.7412495647,0.770367221269647,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V3","VP",-56446.2958597936,41442.3467991788,0.649757372762128,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",100597.014925373,79877.0457714659,0.613314966295877,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V1","VPC",90616.1882670544,56113.3765796871,0.722824845584002,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V2","VPC",2997.33572477872,11779.0811348522,0.0608134731458682,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V3","VPC",6983.49093354013,11984.5880569272,0.253478551153705,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",777213.930348259,423020.890197288,0.771462570802087,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V1","Diff",607211.817995924,301266.132956767,0.80246418332428,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V2","Diff",106572.325559002,68327.8223844168,0.708686584148506,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V3","Diff",63429.7867933337,53426.934856106,0.584976641937924,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422883,343143.844425824,0.795419979137088,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V1","VP",-516595.629728869,245152.75637708,0.816191989752506,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V2","VP",-103574.989834223,56548.7412495648,0.770367221269645,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V3","VP",-56446.2958597934,41442.3467991789,0.649757372762127,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",100597.014925373,79877.0457714659,0.613314966295879,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V1","VPC",90616.1882670544,56113.3765796871,0.722824845584002,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V2","VPC",2997.33572477872,11779.0811348522,0.0608134731458638,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V3","VPC",6983.49093354012,11984.5880569272,0.253478551153703,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",777213.930348256,423020.890197289,0.771462570802085,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V1","Diff",607211.817995924,301266.132956767,0.80246418332428,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V2","Diff",106572.325559002,68327.8223844171,0.708686584148502,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_V3","Diff",63429.7867933336,53426.9348561061,0.584976641937922,"LM_AR_Diff_LMER"
"NJ2020","1","1","T0_T6","c_Viruses","VP",10632.5515280745,10632.5515280745,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","VP",0,0,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","VP",10246.3290530945,10246.3290530945,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","VP",15333.9543812737,7037.26204595892,NA,"VPCL_SR_AVG"
