"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","1","1","T0_T3","c_Viruses","VP","1",NA,NA,1,"LM_SR",-110703.624733476
"NJ2020","1","1","T0_T6","c_Viruses","VP","1",NA,316668.620994325,0.812496054542013,"LM_SR",-659189.765458423
"NJ2020","1","1","T0_T17","c_Viruses","VP","1",NA,150814.868448892,0.264790415753163,"LM_SR",-127998.449311882
"NJ2020","1","1","T0_T20","c_Viruses","VP","1",NA,113210.773866328,0.00628082253087438,"LM_SR",-15589.2352907279
"NJ2020","1","1","T0_T24","c_Viruses","VP","1",NA,108165.867982563,0.174776305024043,"LM_SR",99557.8862444535
"NJ2020","1","1","T0_T3","c_Viruses","VP","2",NA,NA,1,"LM_SR",31897.6545842232
"NJ2020","1","1","T0_T6","c_Viruses","VP","2",NA,362167.269073748,0.729923784782905,"LM_SR",-595394.456289979
"NJ2020","1","1","T0_T17","c_Viruses","VP","2",NA,143845.76714513,0.274639260876755,"LM_SR",-125174.646249273
"NJ2020","1","1","T0_T20","c_Viruses","VP","2",NA,132454.161943856,0.0286908731414349,"LM_SR",39429.3288109928
"NJ2020","1","1","T0_T24","c_Viruses","VP","2",NA,93468.2791973701,0.128635026653739,"LM_SR",71824.6988993263
"NJ2020","1","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",-168017.057569296
"NJ2020","1","1","T0_T6","c_Viruses","VP","3",NA,350595.643209392,0.830214278513505,"LM_SR",-775266.524520256
"NJ2020","1","1","T0_T17","c_Viruses","VP","3",NA,179263.890095339,0.210162734315384,"LM_SR",-130772.63035472
"NJ2020","1","1","T0_T20","c_Viruses","VP","3",NA,135696.286335013,0.00061634279105874,"LM_SR",5836.78408838322
"NJ2020","1","1","T0_T24","c_Viruses","VP","3",NA,94876.493237411,0.0283906505121346,"LM_SR",32436.2358093701
"NJ2020","1","1","T0_T3","c_V1","VP","1",NA,NA,1,"LM_SR",-106468.531286707
"NJ2020","1","1","T0_T6","c_V1","VP","1",NA,234336.506812929,0.826998787487923,"LM_SR",-512351.267154912
"NJ2020","1","1","T0_T17","c_V1","VP","1",NA,118541.77330286,0.213659325560151,"LM_SR",-87386.022804785
"NJ2020","1","1","T0_T20","c_V1","VP","1",NA,85299.0202232663,0.00391262778150192,"LM_SR",-9259.55722524997
"NJ2020","1","1","T0_T24","c_V1","VP","1",NA,83998.4004078641,0.195938867957721,"LM_SR",82930.9755622872
"NJ2020","1","1","T0_T3","c_V1","VP","2",NA,NA,1,"LM_SR",-19751.9400103195
"NJ2020","1","1","T0_T6","c_V1","VP","2",NA,249034.48145846,0.766412049669284,"LM_SR",-451092.314732944
"NJ2020","1","1","T0_T17","c_V1","VP","2",NA,106323.232293865,0.269735756966769,"LM_SR",-91384.472967323
"NJ2020","1","1","T0_T20","c_V1","VP","2",NA,102390.217371873,0.0477388365486811,"LM_SR",39707.9047376958
"NJ2020","1","1","T0_T24","c_V1","VP","2",NA,71761.894444112,0.153751582882187,"LM_SR",61176.5179160637
"NJ2020","1","1","T0_T3","c_V1","VP","3",NA,NA,1,"LM_SR",-149715.32890761
"NJ2020","1","1","T0_T6","c_V1","VP","3",NA,252087.280859849,0.843995218649148,"LM_SR",-586343.307298754
"NJ2020","1","1","T0_T17","c_V1","VP","3",NA,136878.304339473,0.167866845146401,"LM_SR",-86943.2089885733
"NJ2020","1","1","T0_T20","c_V1","VP","3",NA,101702.818073799,0.00482072963032301,"LM_SR",12260.2504276276
"NJ2020","1","1","T0_T24","c_V1","VP","3",NA,70540.2745272591,0.0345556168021597,"LM_SR",26690.8764961869
"NJ2020","1","1","T0_T3","c_V2","VP","1",NA,NA,1,"LM_SR",-27972.0070559166
"NJ2020","1","1","T0_T6","c_V2","VP","1",NA,42966.2285172473,0.850277911675194,"LM_SR",-102391.697857404
"NJ2020","1","1","T0_T17","c_V2","VP","1",NA,21234.7334505715,0.442593949532781,"LM_SR",-26759.5440152965
"NJ2020","1","1","T0_T20","c_V2","VP","1",NA,19278.1047730562,0.00827479979428347,"LM_SR",-3050.05756893383
"NJ2020","1","1","T0_T24","c_V2","VP","1",NA,17420.1009253213,0.143847892360162,"LM_SR",14280.9450777363
"NJ2020","1","1","T0_T3","c_V2","VP","2",NA,NA,1,"LM_SR",30738.9871592835
"NJ2020","1","1","T0_T6","c_V2","VP","2",NA,71416.3914196164,0.628838478475782,"LM_SR",-92957.8312727184
"NJ2020","1","1","T0_T17","c_V2","VP","2",NA,24484.8284567641,0.259802875165508,"LM_SR",-20514.4719743326
"NJ2020","1","1","T0_T20","c_V2","VP","2",NA,19858.3738830152,0.00180133119395146,"LM_SR",1461.14259762133
"NJ2020","1","1","T0_T24","c_V2","VP","2",NA,14535.1486517983,0.0895163154153465,"LM_SR",9115.16403084656
"NJ2020","1","1","T0_T3","c_V2","VP","3",NA,NA,1,"LM_SR",-19656.0707610999
"NJ2020","1","1","T0_T6","c_V2","VP","3",NA,55263.6038118303,0.81338455561624,"LM_SR",-115375.440372547
"NJ2020","1","1","T0_T17","c_V2","VP","3",NA,25986.9891472469,0.302796538144963,"LM_SR",-24219.5822656389
"NJ2020","1","1","T0_T20","c_V2","VP","3",NA,21184.3116461525,0.000302927065475586,"LM_SR",-638.718966830172
"NJ2020","1","1","T0_T24","c_V2","VP","3",NA,15374.3109554503,0.0482115827190897,"LM_SR",6920.39913515496
"NJ2020","1","1","T0_T3","c_V3","VP","1",NA,NA,1,"LM_SR",23736.9136091503
"NJ2020","1","1","T0_T6","c_V3","VP","1",NA,39365.8856641515,0.560400289356168,"LM_SR",-44446.8004461074
"NJ2020","1","1","T0_T17","c_V3","VP","1",NA,11909.3657327615,0.403522140018705,"LM_SR",-13852.882491801
"NJ2020","1","1","T0_T20","c_V3","VP","1",NA,9610.94118633812,0.037364234016644,"LM_SR",-3279.62049654437
"NJ2020","1","1","T0_T24","c_V3","VP","1",NA,7557.53705432972,0.0235225784117578,"LM_SR",2345.96560442926
"NJ2020","1","1","T0_T3","c_V3","VP","2",NA,NA,1,"LM_SR",20910.6074352564
"NJ2020","1","1","T0_T6","c_V3","VP","2",NA,41716.39619567,0.60236276982974,"LM_SR",-51344.3102843172
"NJ2020","1","1","T0_T17","c_V3","VP","2",NA,13551.7836882383,0.324249040054272,"LM_SR",-13275.7013076173
"NJ2020","1","1","T0_T20","c_V3","VP","2",NA,10733.1225476833,0.00868155917794403,"LM_SR",-1739.71852432531
"NJ2020","1","1","T0_T24","c_V3","VP","2",NA,7680.57862307838,0.00986147782470035,"LM_SR",1533.01695241551
"NJ2020","1","1","T0_T3","c_V3","VP","3",NA,NA,1,"LM_SR",1354.34209941441
"NJ2020","1","1","T0_T6","c_V3","VP","3",NA,43244.758537715,0.743095160030138,"LM_SR",-73547.776848956
"NJ2020","1","1","T0_T17","c_V3","VP","3",NA,16736.9779351933,0.407013483141286,"LM_SR",-19609.839100508
"NJ2020","1","1","T0_T20","c_V3","VP","3",NA,13086.0548980036,0.0611539412794154,"LM_SR",-5784.74737241419
"NJ2020","1","1","T0_T24","c_V3","VP","3",NA,9484.64747752492,0.00382243008008422,"LM_SR",-1175.0398219716
"NJ2020","1","1","T0_T3","c_Viruses","VPC","1",NA,NA,1,"LM_SR",131172.707889127
"NJ2020","1","1","T0_T6","c_Viruses","VPC","1",NA,37152.3051687485,0.763875183697947,"LM_SR",66823.0277185498
"NJ2020","1","1","T0_T17","c_Viruses","VPC","1",NA,10639.6340937947,0.885955952765568,"LM_SR",41938.360147315
"NJ2020","1","1","T0_T20","c_Viruses","VPC","1",NA,7397.84205750802,0.933925117033976,"LM_SR",48172.9795589068
"NJ2020","1","1","T0_T24","c_Viruses","VPC","1",NA,5192.18696532389,0.9526247061488,"LM_SR",46565.6082521752
"NJ2020","1","1","T0_T3","c_Viruses","VPC","2",NA,NA,1,"LM_SR",-144989.33901919
"NJ2020","1","1","T0_T6","c_Viruses","VPC","2",NA,225154.294743673,0.542114367621317,"LM_SR",244989.339019189
"NJ2020","1","1","T0_T17","c_Viruses","VPC","2",NA,65473.6213645807,0.470823599689271,"LM_SR",87339.4068617946
"NJ2020","1","1","T0_T20","c_Viruses","VPC","2",NA,41373.3747331153,0.448547055945386,"LM_SR",64629.5823694543
"NJ2020","1","1","T0_T24","c_Viruses","VPC","2",NA,31399.8870348551,0.33156561891312,"LM_SR",44229.6432893445
"NJ2020","1","1","T0_T3","c_Viruses","VPC","3",NA,NA,1,"LM_SR",-99445.6289978669
"NJ2020","1","1","T0_T6","c_Viruses","VPC","3",NA,51629.1477394732,0.0363076813839032,"LM_SR",-10021.3219616207
"NJ2020","1","1","T0_T17","c_Viruses","VPC","3",NA,18572.7770878346,0.762550391082285,"LM_SR",47069.5871292884
"NJ2020","1","1","T0_T20","c_Viruses","VPC","3",NA,16798.0022928326,0.843981113548616,"LM_SR",67669.9788426867
"NJ2020","1","1","T0_T24","c_Viruses","VPC","3",NA,14218.0044771896,0.788798407888314,"LM_SR",54954.4747305942
"NJ2020","1","1","T0_T3","c_V1","VPC","1",NA,NA,1,"LM_SR",151404.568806117
"NJ2020","1","1","T0_T6","c_V1","VPC","1",NA,35441.8553764395,0.865788143788024,"LM_SR",90017.4745796146
"NJ2020","1","1","T0_T17","c_V1","VPC","1",NA,16596.6283282124,0.648499787664767,"LM_SR",31880.636931487
"NJ2020","1","1","T0_T20","c_V1","VPC","1",NA,11237.7713133917,0.813248564695925,"LM_SR",40618.1833779866
"NJ2020","1","1","T0_T24","c_V1","VPC","1",NA,7729.2460644506,0.871242506341273,"LM_SR",40211.5116739921
"NJ2020","1","1","T0_T3","c_V1","VPC","2",NA,NA,1,"LM_SR",-128848.536690603
"NJ2020","1","1","T0_T6","c_V1","VPC","2",NA,184427.004125299,0.516425292765851,"LM_SR",190588.404742128
"NJ2020","1","1","T0_T17","c_V1","VPC","2",NA,51357.9807700178,0.532688347531432,"LM_SR",77545.4340788738
"NJ2020","1","1","T0_T20","c_V1","VPC","2",NA,32195.5682472854,0.544906319901084,"LM_SR",61019.3029669275
"NJ2020","1","1","T0_T24","c_V1","VPC","2",NA,24606.4282570728,0.450198368124692,"LM_SR",44532.5454614155
"NJ2020","1","1","T0_T3","c_V1","VPC","3",NA,NA,1,"LM_SR",-42281.1249751398
"NJ2020","1","1","T0_T6","c_V1","VPC","3",NA,19354.9809902024,0.169930343614531,"LM_SR",-8757.31452058049
"NJ2020","1","1","T0_T17","c_V1","VPC","3",NA,13080.1264665599,0.829826090518227,"LM_SR",40848.3007887025
"NJ2020","1","1","T0_T20","c_V1","VPC","3",NA,14452.007278797,0.854560563166486,"LM_SR",60676.3056387085
"NJ2020","1","1","T0_T24","c_V1","VPC","3",NA,13324.2202888764,0.757248919763344,"LM_SR",47066.352766648
"NJ2020","1","1","T0_T3","c_V2","VPC","1",NA,NA,1,"LM_SR",-15035.5115218632
"NJ2020","1","1","T0_T6","c_V2","VPC","1",NA,1614.88454098582,0.98288670571853,"LM_SR",-12238.4494485184
"NJ2020","1","1","T0_T17","c_V2","VPC","1",NA,3959.53213637078,0.30288915631168,"LM_SR",3691.04902474746
"NJ2020","1","1","T0_T20","c_V2","VPC","1",NA,2396.94910878798,0.530476413887845,"LM_SR",4412.89682303613
