"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843835,1630550.5676252,50963.1322182125,0.0999702376783343,"LM_AP"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843833,1630550.5676252,19473.4814869953,0.110600660729972,"LM_SR_AVG"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843833,1630550.5676252,94754.4188036004,0.113887483332996,"LM_AR"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843833,1630550.5676252,94754.4188036004,0.113887483332996,"LM_AR_DIFF"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.606984384,1630550.56762522,94754.4188036003,0.113887483332998,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_Viruses","VP",313889.396554642,5739786.78038381,56681.7468120107,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T24","c_Viruses","VP",295981.994787965,5327675.90618337,NA,NA,"VPCL_AR"
"NJ2020","1","1","T0_T24","c_Viruses","VP",332238.80597015,4651343.28358209,49406.936540582,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T24","c_Viruses","VP",295981.994787965,5327675.90618337,NA,NA,"VPCL_AR_DIFF"
"NJ2020","1","1","T0_T24","c_Viruses","VP",332238.80597015,4651343.28358209,49406.936540582,NA,"VPCL_AR_DIFF_SE"
"NJ2020","1","1","T0_T24","c_Viruses","VP",295981.994787965,5327675.90618338,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_Viruses","VP",332238.80597015,4651343.2835821,55093.5979763114,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020","1","1","T0_T24","c_V1","VP",56932.7899915126,1366386.9597963,39344.3443963379,0.115725113753821,"LM_AP"
"NJ2020","1","1","T0_T24","c_V1","VP",56932.7899915126,1366386.9597963,16373.190543939,0.128082022547356,"LM_SR_AVG"
"NJ2020","1","1","T0_T24","c_V1","VP",56932.7899915126,1366386.9597963,71301.1914381678,0.137480278339725,"LM_AR"
"NJ2020","1","1","T0_T24","c_V1","VP",56932.7899915126,1366386.9597963,71301.1914381678,0.137480278339725,"LM_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V1","VP",56932.7899915121,1366386.95979629,71301.191438168,0.137480278339723,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_V1","VP",292548.283466256,4509269.46744445,11681.7201741838,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T24","c_V1","VP",228831.920272657,4118974.56490783,NA,NA,"VPCL_AR"
"NJ2020","1","1","T0_T24","c_V1","VP",257907.246273398,3610701.44782758,41910.6161647124,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T24","c_V1","VP",228831.920272657,4118974.56490783,NA,NA,"VPCL_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V1","VP",257907.246273398,3610701.44782758,41910.6161647124,NA,"VPCL_AR_DIFF_SE"
"NJ2020","1","1","T0_T24","c_V1","VP",228831.920272657,4118974.56490783,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_V1","VP",257907.246273398,3610701.44782758,47721.4384668604,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020","1","1","T0_T24","c_V2","VP",10105.5027479126,242532.065949903,8024.20960592195,0.0901869120200778,"LM_AP"
"NJ2020","1","1","T0_T24","c_V2","VP",10105.5027479126,242532.065949903,2181.74144695644,0.0938585968315327,"LM_SR_AVG"
"NJ2020","1","1","T0_T24","c_V2","VP",10105.5027479126,242532.065949902,15472.1581048752,0.0963705715037143,"LM_AR"
"NJ2020","1","1","T0_T24","c_V2","VP",10105.5027479126,242532.065949902,15472.1581048752,0.0963705715037143,"LM_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V2","VP",10105.5027479126,242532.065949902,15472.1581048752,0.0963705715037139,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_V2","VP",45352.6336058008,881651.993636594,6228.99809282022,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T24","c_V2","VP",47272.9448042951,850913.006477312,NA,NA,"VPCL_AR"
"NJ2020","1","1","T0_T24","c_V2","VP",47272.9448042951,850913.006477312,8255.42855039378,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T24","c_V2","VP",47272.9448042951,850913.006477312,NA,NA,"VPCL_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V2","VP",47272.9448042951,850913.006477312,8255.42855039378,NA,"VPCL_AR_DIFF_SE"
"NJ2020","1","1","T0_T24","c_V2","VP",47272.9448042951,850913.006477311,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_V2","VP",47272.9448042951,850913.006477311,5781.18878313447,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020","1","1","T0_T24","c_V3","VP",901.314244957734,21631.5418789856,4191.30119742932,0.00288191612626951,"LM_AP"
"NJ2020","1","1","T0_T24","c_V3","VP",901.314244957723,21631.5418789854,1064.3708683448,0.0124021621055141,"LM_SR_AVG"
"NJ2020","1","1","T0_T24","c_V3","VP",901.314244957727,21631.5418789855,8183.44577586322,0.00302346535923823,"LM_AR"
"NJ2020","1","1","T0_T24","c_V3","VP",901.314244957727,21631.5418789855,8183.44577586322,0.00302346535923823,"LM_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V3","VP",901.314244957768,21631.5418789864,8183.44577586321,0.00302346535923854,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_V3","VP",19771.5123191439,412046.474932754,2717.06461687779,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T24","c_V3","VP",17605.5420461432,403790.197942049,NA,NA,"VPCL_AR"
"NJ2020","1","1","T0_T24","c_V3","VP",24177.5626436627,338485.877011278,3270.35569931284,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T24","c_V3","VP",17605.5420461432,403790.197942049,NA,NA,"VPCL_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V3","VP",24177.5626436627,338485.877011278,3270.35569931284,NA,"VPCL_AR_DIFF_SE"
"NJ2020","1","1","T0_T24","c_V3","VP",17605.5420461435,403790.197942051,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_V3","VP",24177.5626436627,338485.877011278,4255.41736327538,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",48583.2420907047,1165997.81017691,11530.143247879,0.525986333895947,"LM_AP"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",48583.2420907046,1165997.81017691,3256.20623274943,0.690996244316745,"LM_SR_AVG"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",48583.2420907047,1165997.81017691,11552.6136091393,0.815543268529909,"LM_AR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",48583.2420907047,1165997.81017691,11552.6136091393,0.815543268529909,"LM_AR_DIFF"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",48583.2420907047,1165997.81017691,11552.6136091394,0.815543268529908,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",259605.543710022,1566652.45202559,188109.680084776,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",76332.6226012792,1297654.58422175,NA,NA,"VPCL_AR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",238948.116560057,716844.34968017,208281.811217724,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",76332.6226012792,1297654.58422175,NA,NA,"VPCL_AR_DIFF"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",238948.116560057,716844.34968017,208281.811217724,NA,"VPCL_AR_DIFF_SE"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",76332.6226012791,1297654.58422174,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_Viruses","VPC",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020","1","1","T0_T24","c_V1","VPC",43936.8033006852,1054483.27921645,9240.31212678698,0.585590123595421,"LM_AP"
"NJ2020","1","1","T0_T24","c_V1","VPC",43936.8033006852,1054483.27921644,2001.11578400191,0.692896598076436,"LM_SR_AVG"
"NJ2020","1","1","T0_T24","c_V1","VPC",43936.8033006852,1054483.27921644,9613.23800863084,0.839286392024536,"LM_AR"
"NJ2020","1","1","T0_T24","c_V1","VPC",43936.8033006852,1054483.27921644,9613.23800863084,0.839286392024536,"LM_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V1","VPC",43936.8033006852,1054483.27921645,9613.23800863085,0.839286392024536,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_V1","VPC",78806.1068651829,1341137.19018345,17863.1399079509,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T24","c_V1","VPC",67297.5719407425,1144058.72299262,NA,NA,"VPCL_AR"
"NJ2020","1","1","T0_T24","c_V1","VPC",187807.407487318,563422.222461954,169972.480813979,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T24","c_V1","VPC",67297.5719407425,1144058.72299262,NA,NA,"VPCL_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V1","VPC",187807.407487318,563422.222461954,169972.480813979,NA,"VPCL_AR_DIFF_SE"
"NJ2020","1","1","T0_T24","c_V1","VPC",67297.5719407426,1144058.72299262,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_V1","VPC",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020","1","1","T0_T24","c_V2","VPC",3909.06270365563,93817.5048877352,2011.04697684469,0.191034163533592,"LM_AP"
"NJ2020","1","1","T0_T24","c_V2","VPC",3909.06270365562,93817.5048877349,1807.32367957072,0.434122240955616,"LM_SR_AVG"
"NJ2020","1","1","T0_T24","c_V2","VPC",3909.06270365561,93817.5048877347,1189.95565248171,0.729575283594361,"LM_AR"
"NJ2020","1","1","T0_T24","c_V2","VPC",3909.06270365561,93817.5048877347,1189.95565248171,0.729575283594361,"LM_AR_DIFF"
"NJ2020","1","1","T0_T24","c_V2","VPC",3909.0627036556,93817.5048877343,1189.95565248172,0.729575283594354,"LM_AR_DIFF_LMER"
