"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type","abs_VP"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-79829.4243333331,61864.260569183,0.293925314763402,"LM_AP",-239488.272999999
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685166667,46757.7671717812,0.63888824127238,"LM_AP",-987292.110999999
"NJ2020","1","1","T0_T17","c_Viruses","VP",57873.7481454545,28041.8489544932,0.298708945068047,"LM_AP",983853.718472727
"NJ2020","1","1","T0_T20","c_Viruses","VP",58624.4727857143,20082.897001578,0.395946898042916,"LM_AP",1172489.45571429
"NJ2020","1","1","T0_T24","c_Viruses","VP",68321.903975,22527.9753035308,0.365019467186228,"LM_AP",1639725.6954
"NJ2020","2","1","T0_T3","c_Viruses","VP",-864818.763333335,50303.3633057714,0.986647401000397,"LM_AP",-2594456.29
"NJ2020","2","1","T0_T6","c_Viruses","VP",-800817.342222223,70874.2879186495,0.94802116388009,"LM_AP",-4804904.05333334
"NJ2020","2","1","T0_T17.5","c_Viruses","VP",1551505.77345192,313474.817302074,0.710114304739087,"LM_AP",27151351.0354085
"NJ2020","2","1","T0_T20.5","c_Viruses","VP",2223299.65889091,395260.813377278,0.708777563510705,"LM_AP",45577643.0072637
"NJ2020","2","1","T0_T24","c_Viruses","VP",2899833.36079391,458625.479531729,0.714177496772995,"LM_AP",69596000.6590539
"NJ2020","3","1","T0_T3","c_Viruses","VP",517242.358888888,450865.477952948,0.247570984596459,"LM_AP",1551727.07666666
"NJ2020","3","1","T0_T6","c_Viruses","VP",-138606.965555555,270738.634456831,0.0360916987682438,"LM_AP",-831641.793333333
"NJ2020","3","1","T0_T9","c_Viruses","VP",-178968.017333334,145941.461407609,0.130722909710757,"LM_AP",-1610712.156
"NJ2020","3","1","T0_T12","c_Viruses","VP",-313606.254444444,100112.366768828,0.430145059519484,"LM_AP",-3763275.05333333
"NJ2020","3","1","T0_T24","c_Viruses","VP",361534.470583333,109150.180133512,0.406772620812918,"LM_AP",8676827.29399999
"NJ2020","4","1","T0_T3","c_Viruses","VP",423312.01111111,120394.233111847,0.755540071294208,"LM_AP",1269936.03333333
"NJ2020","4","1","T0_T6","c_Viruses","VP",3072992.18222222,580037.934421501,0.800387320704821,"LM_AP",18437953.0933333
"NJ2020","4","1","T0_T9","c_Viruses","VP",2420796.02,378123.623485495,0.803872533347575,"LM_AP",21787164.18
"NJ2020","4","1","T0_T12","c_Viruses","VP",1798379.53111111,293364.717383928,0.742977090981929,"LM_AP",21580554.3733333
"NJ2020","4","1","T0_T24","c_Viruses","VP",891115.849583333,189289.535047347,0.580738225330864,"LM_AP",21386780.39
"NJ2020","5","1","T0_T3","c_Viruses","VP",197725.657777777,221411.549490651,0.166230760801188,"LM_AP",593176.97333333
"NJ2020","5","1","T0_T6","c_Viruses","VP",205792.466111111,356690.707841475,0.0453943011503993,"LM_AP",1234754.79666667
