"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Type","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_10","Rate_BS_10","P_BP_Lysed_BS_10","P_B_Loss_BS_10","P_Cells_BS_25","Rate_BS_25","P_BP_Lysed_BS_25","P_B_Loss_BS_25","P_Cells_BS_40","Rate_BS_40","P_BP_Lysed_BS_40","P_B_Loss_BS_40","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_10","Total_DOC_BS_10","DON_B_BS_10","Total_DON_BS_10","DOP_B_BS_10","Total_DOP_BS_10","DOC_B_BS_25","Total_DOC_BS_25","DON_B_BS_25","Total_DON_BS_25","DOP_B_BS_25","Total_DOP_BS_25","DOC_B_BS_40","Total_DOC_BS_40","DON_B_BS_40","Total_DON_BS_40","DOP_B_BS_40","Total_DOP_BS_40"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",-79829.4243333331,-239488.272999999,61864.260569183,0.293925314763402,"LM_AP",1507462.68666667,3454942.339,182285832,-182960.454322818,-548881.362968454,141786.231262559,-1.58868458316246,-18296.0454322818,-6.77631312306734,-12.7094766652997,-0.635473833264983,-7318.41817291272,-2.71052524922694,-5.08379066611987,-0.397171145790614,-4574.01135807045,-1.69407828076683,-3.17736916632492,-0.00100370090376974,-2.65019771264909e-12,-1.04571542684814e-12,-3.7946087807996e-13,-3.47624863213354e-10,-3.50275060926004e-10,-9.14802271614091e-11,-9.25259425882572e-11,-1.46368363458254e-11,-1.50162972239054e-11,-1.39049945285342e-10,-1.41700142997991e-10,-3.65920908645636e-11,-3.76378062914118e-11,-5.85473453833018e-12,-6.23419541641014e-12,-8.69062158033386e-11,-8.95564135159877e-11,-2.28700567903523e-11,-2.39157722172004e-11,-3.65920908645636e-12,-4.03866996453632e-12
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-164548.685166667,-987292.110999999,46757.7671717812,0.63888824127238,"LM_AP",1507462.68666667,3454942.339,182285832,-377127.887965302,-2262767.3277918,107163.773211597,-6.54936350818155,-37712.7887965301,-13.9676995542704,-26.1974540327263,-2.61974540327262,-15085.1155186121,-5.58707982170817,-10.4789816130905,-1.63734087704539,-9428.19719913254,-3.49192488856761,-6.54936350818157,-0.00206888206191089,-5.46272947212055e-12,-2.15548464721314e-12,-7.82165086140731e-13,-7.16542987134073e-10,-7.22005716606193e-10,-1.88563943982651e-10,-1.90719428629864e-10,-3.01702310372241e-11,-3.09523961233649e-11,-2.86617194853629e-10,-2.9207992432575e-10,-7.54255775930603e-11,-7.75810622402734e-11,-1.20680924148896e-11,-1.28502575010304e-11,-1.79135746783518e-10,-1.84598476255639e-10,-4.71409859956627e-11,-4.92964706428758e-11,-7.54255775930603e-12,-8.32472284544676e-12
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481454545,983853.718472727,28041.8489544932,0.298708945068047,"LM_AP",1507462.68666667,3454942.339,182285832,132640.405996707,2254886.90194402,64268.901693979,6.52655436963581,13264.0405996707,4.91260762950767,9.21395911007408,2.61062174785432,5305.61623986828,1.96504305180307,3.68558364402963,1.63163859240895,3316.01014991768,1.22815190737692,2.30348977751852,0.000727650660182449,1.92130754090218e-12,7.58109829184323e-13,2.75096851473634e-13,2.52016771393743e-10,2.53938078934646e-10,6.63202029983535e-11,6.70783128275379e-11,1.06112324797366e-11,1.08863293312102e-11,1.00806708557497e-10,1.027280160984e-10,2.65280811993414e-11,2.72861910285257e-11,4.24449299189463e-12,4.51958984336826e-12,6.30041928484359e-11,6.49255003893380e-11,1.65800507495884e-11,1.73381605787727e-11,2.65280811993414e-12,2.92790497140778e-12
"NJ2020",1,1,"T0_T20","c_Viruses","VP",58624.4727857143,1172489.45571429,20082.897001578,0.395946898042916,"LM_AP",1507462.68666667,3454942.339,182285832,134360.986126156,2687219.72252313,46027.8398624606,7.77790034927447,13436.0986126156,4.97633281948725,9.33348041912933,3.11116013970979,5374.43944504623,1.9905331277949,3.73339216765173,1.94447508731862,3359.0246531539,1.24408320487181,2.33337010478233,0.000737089573292541,1.94623029013984e-12,7.67943851466091e-13,2.78665343086448e-13,2.55285873639696e-10,2.57232103929836e-10,6.71804930630779e-11,6.7948436914544e-11,1.07488788900925e-11,1.10275442331789e-11,1.02114349455878e-10,1.04060579746018e-10,2.68721972252312e-11,2.76401410766973e-11,4.29955155603699e-12,4.57821689912343e-12,6.3821468409924e-11,6.57676987000639e-11,1.67951232657695e-11,1.75630671172356e-11,2.68721972252312e-12,2.96588506560956e-12
"NJ2020",1,1,"T0_T24","c_Viruses","VP",68321.903975,1639725.6954,22527.9753035308,0.365019467186228,"LM_AP",1507462.68666667,3454942.339,182285832,156586.455381045,3758074.92914507,51631.6963441534,10.8773882756979,15658.6455381045,5.7994983474461,10.8773882756979,4.35095531027914,6263.45821524179,2.31979933897844,4.35095531027914,2.71934706892447,3914.66138452612,1.44987458686153,2.71934706892447,0.00085901605002985,2.2681680990498e-12,8.9497412232325e-13,3.2476107514185e-13,2.97514265223985e-10,2.99782433323035e-10,7.82932276905224e-11,7.91882018128456e-11,1.25269164304836e-11,1.28516775056254e-11,1.19005706089594e-10,1.21273874188644e-10,3.1317291076209e-11,3.22122651985322e-11,5.01076657219343e-12,5.33552764733528e-12,7.43785663059963e-11,7.66467344050461e-11,1.95733069226306e-11,2.04682810449538e-11,3.1317291076209e-12,3.45649018276275e-12
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333335,-2594456.29,50303.3633057714,0.986647401000397,"LM_AP",856929.637533333,3231054.366,204686985.2,-3260800.32557889,-9782400.97673665,189668.899889432,-30.2761881065069,-326080.032557889,-120.770382428848,-242.209504852056,-12.1104752426028,-130432.013023156,-48.3081529715391,-96.8838019408224,-7.56904702662673,-81520.0081394723,-30.1925956072119,-60.552376213014,-0.0159306676112932,-2.87104752111436e-11,-1.13285837872162e-11,-4.1108261778792e-12,-6.19552061859989e-09,-6.22423109381103e-09,-1.63040016278945e-09,-1.64172874657666e-09,-2.60864026046311e-10,-2.6497485222419e-10,-2.47820824743996e-09,-2.5069187226511e-09,-6.52160065115778e-10,-6.63488648902994e-10,-1.04345610418524e-10,-1.08456436596404e-10,-1.54888015464997e-09,-1.57759062986112e-09,-4.07600040697361e-10,-4.18928624484578e-10,-6.52160065115778e-11,-6.9326832689457e-11
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222223,-4804904.05333334,70874.2879186495,0.94802116388009,"LM_AP",856929.637533333,3231054.366,204686985.2,-3019482.880069,-18116897.280414,267231.599172909,-56.0711620053687,-301948.2880069,-111.832699261815,-224.284648021475,-22.4284648021475,-120779.31520276,-44.7330797047259,-89.7138592085899,-14.0177905013422,-75487.0720017249,-27.9581748154537,-56.0711620053687,-0.0147517091871701,-2.65857396108126e-11,-1.04902052826108e-11,-3.80660206933772e-12,-5.73701747213109e-09,-5.7636032117419e-09,-1.5097414400345e-09,-1.52023164531711e-09,-2.4155863040552e-10,-2.45365232474857e-10,-2.29480698885244e-09,-2.32139272846325e-09,-6.03896576013799e-10,-6.1438678129641e-10,-9.66234521622079e-11,-1.00430054231546e-10,-1.43425436803277e-09,-1.46084010764359e-09,-3.77435360008624e-10,-3.87925565291235e-10,-6.03896576013799e-11,-6.41962596707176e-11
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,313474.817302074,0.710114304739087,"LM_AP",856929.637533333,3231054.366,204686985.2,5849954.63293337,102374206.076334,1181957.22578859,316.844579136783,584995.463293337,216.664986404939,434.529708530447,126.737831654713,233998.185317335,86.6659945619758,173.811883412179,79.2111447841958,146248.865823334,54.1662466012349,108.632427132612,0.0285800029113593,5.1507286771793e-11,2.03237532487777e-11,7.37492156628724e-12,1.11149138025734e-08,1.11664210893452e-08,2.92497731646668e-09,2.94530106971546e-09,4.67996370634669e-10,4.75371292200956e-10,4.44596552102936e-09,4.49747280780115e-09,1.16999092658667e-09,1.19031467983545e-09,1.87198548253868e-10,1.94573469820155e-10,2.77872845064335e-09,2.83023573741514e-09,7.31244329116671e-10,7.51568082365448e-10,1.16999092658667e-10,1.24374014224955e-10
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,395260.813377278,0.708777563510705,"LM_AP",856929.637533333,3231054.366,204686985.2,8382954.39338957,171850565.064486,1490331.43543444,531.871474750934,838295.439338957,310.479792347762,622.67879970841,212.748589900373,335318.175735583,124.191916939105,249.071519883364,132.967868687733,209573.859834739,77.6199480869404,155.669699927102,0.0409549946968957,7.38096725578652e-11,2.91238321110836e-11,1.05682240332197e-11,1.59276133474402e-08,1.6001423019998e-08,4.19147719669478e-09,4.22060102880587e-09,6.70636351471165e-10,6.81204575504385e-10,6.37104533897607e-09,6.44485501153394e-09,1.67659087867791e-09,1.705714710789e-09,2.68254540588466e-10,2.78822764621686e-10,3.98190333686004e-09,4.05571300941791e-09,1.0478692991737e-09,1.07699313128478e-09,1.67659087867791e-10,1.78227311901011e-10
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,458625.479531729,0.714177496772995,"LM_AP",856929.637533333,3231054.366,204686985.2,10933825.6382819,262411815.318767,1729247.99551258,812.155369714899,1093382.56382819,404.956505121554,812.155369714899,324.86214788596,437353.025531278,161.982602048621,324.862147885959,203.038842428725,273345.640957049,101.239126280388,203.038842428725,0.0534172977710258,9.6269411987111e-11,3.79859995984576e-11,1.37840567254718e-11,2.07742687127357e-08,2.08705381247228e-08,5.46691281914097e-09,5.50489881873943e-09,8.74706051062556e-10,8.88490107788028e-10,8.30970748509428e-09,8.40597689708139e-09,2.18676512765639e-09,2.22475112725485e-09,3.49882420425022e-10,3.63666477150494e-10,5.19356717818393e-09,5.28983659017104e-09,1.36672820478524e-09,1.4047142043837e-09,2.18676512765639e-10,2.32460569491111e-10
