"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","abs_VP"
"NJ2020","1","1","T0_T3","c_Viruses","VP","1",-109680.170666666,NA,1,"LM_SR",-329040.511999998
"NJ2020","1","1","T0_T6","c_Viruses","VP","1",-147121.535166668,21616.7818729011,0.978867375377836,"LM_SR",-882729.211000006
"NJ2020","1","1","T0_T17","c_Viruses","VP","1",57947.6642818183,50992.0073252726,0.392359608732496,"LM_SR",985110.292790911
"NJ2020","1","1","T0_T20","c_Viruses","VP","1",33204.303899614,33929.6883941975,0.241983782239275,"LM_SR",664086.07799228
"NJ2020","1","1","T0_T24","c_Viruses","VP","1",101270.097331757,50160.6249687325,0.504706682042654,"LM_SR",2430482.33596216
"NJ2020","1","1","T0_T3","c_Viruses","VP","2",37185.5010000013,NA,1,"LM_SR",111556.503000004
"NJ2020","1","1","T0_T6","c_Viruses","VP","2",-82729.2111666673,69232.7913492212,0.588119351948272,"LM_SR",-496375.267000004
"NJ2020","1","1","T0_T17","c_Viruses","VP","2",60619.4999121212,38981.2671399501,0.54733870466911,"LM_SR",1030531.49850606
"NJ2020","1","1","T0_T20","c_Viruses","VP","2",88248.8824890604,28736.2772459269,0.758667709132582,"LM_SR",1764977.64978121
"NJ2020","1","1","T0_T24","c_Viruses","VP","2",71535.815158108,22562.814267947,0.715346783233378,"LM_SR",1716859.56379459
"NJ2020","1","1","T0_T3","c_Viruses","VP","3",-166993.603333333,NA,1,"LM_SR",-500980.809999998
"NJ2020","1","1","T0_T6","c_Viruses","VP","3",-263795.309166667,55888.4909208898,0.95704222978437,"LM_SR",-1582771.855
"NJ2020","1","1","T0_T17","c_Viruses","VP","3",55054.0802424244,79967.2286964818,0.191584214018742,"LM_SR",935919.364121214
"NJ2020","1","1","T0_T20","c_Viruses","VP","3",54420.2319684684,47575.3972859765,0.303693318823524,"LM_SR",1088404.63936937
"NJ2020","1","1","T0_T24","c_Viruses","VP","3",32159.7994351351,35782.6625086135,0.168011397458499,"LM_SR",771835.186443243
"NJ2020","2","1","T0_T3","c_Viruses","VP","1",-806396.589999995,NA,1,"LM_SR",-2419189.76999998
